district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,burchuladze,ისრაფილ ბაირამოვი,3,0.0014,4295,2195,827,1805,4280,15,0.5111,0.1925,0.4203,47,0.0214
national,burjanadze_democratic,ვეფხია გურგენიშვილი,2,0.0009,4295,2195,827,1805,4280,15,0.5111,0.1925,0.4203,47,0.0214
national,unm,აკმამედ იმამკულიევი,381,0.1775,4295,2195,827,1805,4280,15,0.5111,0.1925,0.4203,47,0.0214
national,mechiauri_united,ელდარ მუსტაფაევი,4,0.0019,4295,2195,827,1805,4280,15,0.5111,0.1925,0.4203,47,0.0214
national,patriots,ალი ისაევი,7,0.0033,4295,2195,827,1805,4280,15,0.5111,0.1925,0.4203,47,0.0214
national,georgia_2016,ომარ წამალაიძე,1,0.0005,4295,2195,827,1805,4280,15,0.5111,0.1925,0.4203,47,0.0214
national,gd,თამაზ ნავერიანი,313,0.1458,4295,2195,827,1805,4280,15,0.5111,0.1925,0.4203,47,0.0214
national,burchuladze,ბესიკ თოდუა,8,0.0037,4295,2195,827,1805,4280,15,0.5111,0.1925,0.4203,47,0.0214
national,unm,სანდრა ელისაბედ რულოვს,438,0.204,4295,2195,827,1805,4280,15,0.5111,0.1925,0.4203,47,0.0214
national,mechiauri_united,ჯონი ზარანდია,5,0.0023,4295,2195,827,1805,4280,15,0.5111,0.1925,0.4203,47,0.0214
national,patriots,ირაკლი ჩანგელია,2,0.0009,4295,2195,827,1805,4280,15,0.5111,0.1925,0.4203,47,0.0214
national,zviads_way,რამაზ ჩაჩიბაია,2,0.0009,4295,2195,827,1805,4280,15,0.5111,0.1925,0.4203,47,0.0214
national,gd,ედიშერ თოლორაია,981,0.4569,4295,2195,827,1805,4280,15,0.5111,0.1925,0.4203,47,0.0214
36,burchuladze,ისრაფილ ბაირამოვი,3,0.0042,1436,729,306,615,1436,0,0.5077,0.2131,0.4283,18,0.0247
36,burjanadze_democratic,ვეფხია გურგენიშვილი,2,0.0028,1436,729,306,615,1436,0,0.5077,0.2131,0.4283,18,0.0247
36,unm,აკმამედ იმამკულიევი,381,0.5359,1436,729,306,615,1436,0,0.5077,0.2131,0.4283,18,0.0247
36,mechiauri_united,ელდარ მუსტაფაევი,4,0.0056,1436,729,306,615,1436,0,0.5077,0.2131,0.4283,18,0.0247
36,patriots,ალი ისაევი,7,0.0098,1436,729,306,615,1436,0,0.5077,0.2131,0.4283,18,0.0247
36,georgia_2016,ომარ წამალაიძე,1,0.0014,1436,729,306,615,1436,0,0.5077,0.2131,0.4283,18,0.0247
36,gd,თამაზ ნავერიანი,313,0.4402,1436,729,306,615,1436,0,0.5077,0.2131,0.4283,18,0.0247
66,burchuladze,ბესიკ თოდუა,8,0.0056,2859,1466,521,1190,2844,15,0.5128,0.1822,0.4162,29,0.0198
66,unm,სანდრა ელისაბედ რულოვს,438,0.305,2859,1466,521,1190,2844,15,0.5128,0.1822,0.4162,29,0.0198
66,mechiauri_united,ჯონი ზარანდია,5,0.0035,2859,1466,521,1190,2844,15,0.5128,0.1822,0.4162,29,0.0198
66,patriots,ირაკლი ჩანგელია,2,0.0014,2859,1466,521,1190,2844,15,0.5128,0.1822,0.4162,29,0.0198
66,zviads_way,რამაზ ჩაჩიბაია,2,0.0014,2859,1466,521,1190,2844,15,0.5128,0.1822,0.4162,29,0.0198
66,gd,ედიშერ თოლორაია,981,0.6831,2859,1466,521,1190,2844,15,0.5128,0.1822,0.4162,29,0.0198
