precinct_id,precinct_key,smd,dd,pp,district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
3622050,36.22.48,36,22,48,3622050,burchuladze,ისრაფილ ბაირამოვი,3,0.0042,1436,729,306,615,0.5077,0.2131,0.4283,18,0.0247
3622050,36.22.48,36,22,48,3622050,burjanadze_democratic,ვეფხია გურგენიშვილი,2,0.0028,1436,729,306,615,0.5077,0.2131,0.4283,18,0.0247
3622050,36.22.48,36,22,48,3622050,unm,აკმამედ იმამკულიევი,381,0.5359,1436,729,306,615,0.5077,0.2131,0.4283,18,0.0247
3622050,36.22.48,36,22,48,3622050,mechiauri_united,ელდარ მუსტაფაევი,4,0.0056,1436,729,306,615,0.5077,0.2131,0.4283,18,0.0247
3622050,36.22.48,36,22,48,3622050,patriots,ალი ისაევი,7,0.0098,1436,729,306,615,0.5077,0.2131,0.4283,18,0.0247
3622050,36.22.48,36,22,48,3622050,georgia_2016,ომარ წამალაიძე,1,0.0014,1436,729,306,615,0.5077,0.2131,0.4283,18,0.0247
3622050,36.22.48,36,22,48,3622050,gd,თამაზ ნავერიანი,313,0.4402,1436,729,306,615,0.5077,0.2131,0.4283,18,0.0247
6667040,66.67.38,66,67,38,6667040,burchuladze,ბესიკ თოდუა,4,0.0089,1149,461,164,393,0.4012,0.1427,0.342,12,0.026
6667040,66.67.38,66,67,38,6667040,unm,სანდრა ელისაბედ რულოვს,156,0.3474,1149,461,164,393,0.4012,0.1427,0.342,12,0.026
6667040,66.67.38,66,67,38,6667040,mechiauri_united,ჯონი ზარანდია,2,0.0045,1149,461,164,393,0.4012,0.1427,0.342,12,0.026
6667040,66.67.38,66,67,38,6667040,patriots,ირაკლი ჩანგელია,1,0.0022,1149,461,164,393,0.4012,0.1427,0.342,12,0.026
6667040,66.67.38,66,67,38,6667040,zviads_way,რამაზ ჩაჩიბაია,1,0.0022,1149,461,164,393,0.4012,0.1427,0.342,12,0.026
6667040,66.67.38,66,67,38,6667040,gd,ედიშერ თოლორაია,285,0.6347,1149,461,164,393,0.4012,0.1427,0.342,12,0.026
6667080,66.67.79,66,67,79,6667080,burchuladze,ბესიკ თოდუა,4,0.0071,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,unm,სანდრა ელისაბედ რულოვს,165,0.2946,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,mechiauri_united,ჯონი ზარანდია,2,0.0036,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,patriots,ირაკლი ჩანგელია,1,0.0018,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,zviads_way,რამაზ ჩაჩიბაია,1,0.0018,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,gd,ედიშერ თოლორაია,387,0.6911,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667110,66.67.108,66,67,108,6667110,unm,სანდრა ელისაბედ რულოვს,117,0.274,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,mechiauri_united,ჯონი ზარანდია,1,0.0023,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,gd,ედიშერ თოლორაია,309,0.7237,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
