district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,unm,,212984,0.2401,2432271,908401,306862,746651,2421455,10816,0.3735,0.1262,0.307,20830,0.0229
national,industry_sakartvelo,,12405,0.014,2432271,908401,306862,746651,2421455,10816,0.3735,0.1262,0.307,20830,0.0229
national,free_democrats,,8169,0.0092,2432271,908401,306862,746651,2421455,10816,0.3735,0.1262,0.307,20830,0.0229
national,gd,,621893,0.7011,2432271,908401,306862,746651,2421455,10816,0.3735,0.1262,0.307,20830,0.0229
national,smd_only_42,,25052,0.0282,2432271,908401,306862,746651,2421455,10816,0.3735,0.1262,0.307,20830,0.0229
national,smd_only_43,,6493,0.0073,2432271,908401,306862,746651,2421455,10816,0.3735,0.1262,0.307,20830,0.0229
1,unm,ნიკოლოზი რურუა,5449,0.3242,44079,17178,4463,13687,43847,232,0.3897,0.1013,0.3105,362,0.0211
1,smd_only_42,სალომე ზურაბიშვილი,11360,0.6758,44079,17178,4463,13687,43847,232,0.3897,0.1013,0.3105,362,0.0211
2,unm,ელენე ხოშტარია,4123,0.2448,42692,17200,4105,13517,42532,160,0.4029,0.0962,0.3166,354,0.0206
2,gd,ბიძინა გეგიძე,12720,0.7552,42692,17200,4105,13517,42532,160,0.4029,0.0962,0.3166,354,0.0206
6,unm,სევდია უგრეხელიძე,3319,0.2073,44326,16396,4072,13261,44172,154,0.3699,0.0919,0.2992,382,0.0233
6,gd,ლევან გოგიჩაიშვილი,12691,0.7927,44326,16396,4072,13261,44172,154,0.3699,0.0919,0.2992,382,0.0233
7,unm,ირაკლი აბესაძე,4646,0.271,47516,17504,5446,13917,47334,182,0.3684,0.1146,0.2929,346,0.0198
7,gd,ბექა ოდიშარია,12501,0.729,47516,17504,5446,13917,47334,182,0.3684,0.1146,0.2929,346,0.0198
8,unm,გიორგი ონიანი,3176,0.25,45391,13063,4291,10806,45208,183,0.2878,0.0945,0.2381,353,0.027
8,gd,ირაკლი აბუსერიძე,9527,0.75,45391,13063,4291,10806,45208,183,0.2878,0.0945,0.2381,353,0.027
9,unm,ბესიკი კვიციანი,3036,0.2539,45024,12285,3548,9626,44758,266,0.2729,0.0788,0.2138,325,0.0265
9,gd,დავით ჭიჭინაძე,8920,0.7461,45024,12285,3548,9626,44758,266,0.2729,0.0788,0.2138,325,0.0265
10,unm,ზაზა კედელაშვილი,3443,0.264,45222,13324,4056,10712,45033,189,0.2946,0.0897,0.2369,278,0.0209
10,gd,ბექა ნაცვლიშვილი,9598,0.736,45222,13324,4056,10712,45033,189,0.2946,0.0897,0.2369,278,0.0209
11,unm,ირაკლი ნადირაძე,3551,0.2664,47415,13617,4443,11203,47183,232,0.2872,0.0937,0.2363,284,0.0209
11,gd,გიორგი მოსიძე,9778,0.7336,47415,13617,4443,11203,47183,232,0.2872,0.0937,0.2363,284,0.0209
12,unm,დათო ჟღენტი,3533,0.296,45557,12183,3857,9781,45389,168,0.2674,0.0847,0.2147,242,0.0199
12,gd,მარიამ ჯაში,8404,0.704,45557,12183,3857,9781,45389,168,0.2674,0.0847,0.2147,242,0.0199
13,unm,გიორგი ხახნელიძე,2877,0.2407,44955,12241,4126,9767,44751,204,0.2723,0.0918,0.2173,282,0.023
13,gd,შოთა ხაბარელი,9076,0.7593,44955,12241,4126,9767,44751,204,0.2723,0.0918,0.2173,282,0.023
15,unm,დავით ნაფეტვარიძე,3360,0.2394,44440,14409,3905,11688,44321,119,0.3242,0.0879,0.263,370,0.0257
15,gd,ზაზა პაპუაშვილი,10676,0.7606,44440,14409,3905,11688,44321,119,0.3242,0.0879,0.263,370,0.0257
16,unm,ირაკლი დვალი,3394,0.233,44574,14963,4437,12110,44390,184,0.3357,0.0995,0.2717,386,0.0258
16,gd,ივლიანე წულაია,11175,0.767,44574,14963,4437,12110,44390,184,0.3357,0.0995,0.2717,386,0.0258
17,unm,მურმან თხელიძე,3054,0.2247,45152,13922,4361,11173,44974,178,0.3083,0.0966,0.2475,323,0.0232
17,gd,სოფიო კილაძე,10536,0.7753,45152,13922,4361,11173,44974,178,0.3083,0.0966,0.2475,323,0.0232
18,unm,მამუკა გუგეშაშვილი,3794,0.2684,45031,14524,4558,11926,44901,130,0.3225,0.1012,0.2648,379,0.0261
18,gd,მიხეილ ყაველაშვილი,10341,0.7316,45031,14524,4558,11926,44901,130,0.3225,0.1012,0.2648,379,0.0261
