precinct_id,district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
101001,101001,unm,ნიკოლოზი რურუა,127,0.2581,1489,499,137,417,0.3351,0.092,0.2801,6,0.012
101001,101001,smd_only_42,სალომე ზურაბიშვილი,365,0.7419,1489,499,137,417,0.3351,0.092,0.2801,6,0.012
101002,101002,unm,ნიკოლოზი რურუა,204,0.4146,1311,501,136,427,0.3822,0.1037,0.3257,9,0.018
101002,101002,smd_only_42,სალომე ზურაბიშვილი,288,0.5854,1311,501,136,427,0.3822,0.1037,0.3257,9,0.018
101003,101003,unm,ნიკოლოზი რურუა,233,0.401,1478,598,146,454,0.4046,0.0988,0.3072,17,0.0284
101003,101003,smd_only_42,სალომე ზურაბიშვილი,348,0.599,1478,598,146,454,0.4046,0.0988,0.3072,17,0.0284
101004,101004,unm,ნიკოლოზი რურუა,105,0.2625,1200,414,110,342,0.345,0.0917,0.285,14,0.0338
101004,101004,smd_only_42,სალომე ზურაბიშვილი,295,0.7375,1200,414,110,342,0.345,0.0917,0.285,14,0.0338
101005,101005,unm,ნიკოლოზი რურუა,189,0.3387,1585,566,144,430,0.3571,0.0909,0.2713,8,0.0141
101005,101005,smd_only_42,სალომე ზურაბიშვილი,369,0.6613,1585,566,144,430,0.3571,0.0909,0.2713,8,0.0141
101006,101006,unm,ნიკოლოზი რურუა,130,0.2338,1562,569,149,442,0.3643,0.0954,0.283,13,0.0228
101006,101006,smd_only_42,სალომე ზურაბიშვილი,426,0.7662,1562,569,149,442,0.3643,0.0954,0.283,13,0.0228
101007,101007,unm,ნიკოლოზი რურუა,157,0.3305,1462,488,138,389,0.3338,0.0944,0.2661,13,0.0266
101007,101007,smd_only_42,სალომე ზურაბიშვილი,318,0.6695,1462,488,138,389,0.3338,0.0944,0.2661,13,0.0266
101008,101008,unm,ნიკოლოზი რურუა,84,0.2449,1162,355,78,279,0.3055,0.0671,0.2401,12,0.0338
101008,101008,smd_only_42,სალომე ზურაბიშვილი,259,0.7551,1162,355,78,279,0.3055,0.0671,0.2401,12,0.0338
101009,101009,unm,ნიკოლოზი რურუა,156,0.3012,1447,529,129,437,0.3656,0.0891,0.302,11,0.0208
101009,101009,smd_only_42,სალომე ზურაბიშვილი,362,0.6988,1447,529,129,437,0.3656,0.0891,0.302,11,0.0208
101010,101010,unm,ნიკოლოზი რურუა,148,0.2648,1575,566,175,463,0.3594,0.1111,0.294,7,0.0124
101010,101010,smd_only_42,სალომე ზურაბიშვილი,411,0.7352,1575,566,175,463,0.3594,0.1111,0.294,7,0.0124
101011,101011,unm,ნიკოლოზი რურუა,211,0.3754,1618,569,164,450,0.3517,0.1014,0.2781,7,0.0123
101011,101011,smd_only_42,სალომე ზურაბიშვილი,351,0.6246,1618,569,164,450,0.3517,0.1014,0.2781,7,0.0123
101012,101012,unm,ნიკოლოზი რურუა,168,0.2892,1557,604,127,494,0.3879,0.0816,0.3173,23,0.0381
101012,101012,smd_only_42,სალომე ზურაბიშვილი,413,0.7108,1557,604,127,494,0.3879,0.0816,0.3173,23,0.0381
101013,101013,unm,ნიკოლოზი რურუა,103,0.2325,1349,448,141,358,0.3321,0.1045,0.2654,5,0.0112
101013,101013,smd_only_42,სალომე ზურაბიშვილი,340,0.7675,1349,448,141,358,0.3321,0.1045,0.2654,5,0.0112
101014,101014,unm,ნიკოლოზი რურუა,133,0.291,1202,463,125,374,0.3852,0.104,0.3111,6,0.013
101014,101014,smd_only_42,სალომე ზურაბიშვილი,324,0.709,1202,463,125,374,0.3852,0.104,0.3111,6,0.013
101015,101015,unm,ნიკოლოზი რურუა,156,0.2713,1394,594,149,464,0.4261,0.1069,0.3329,19,0.032
101015,101015,smd_only_42,სალომე ზურაბიშვილი,419,0.7287,1394,594,149,464,0.4261,0.1069,0.3329,19,0.032
101016,101016,unm,ნიკოლოზი რურუა,229,0.3868,1524,611,154,497,0.4009,0.101,0.3261,16,0.0262
101016,101016,smd_only_42,სალომე ზურაბიშვილი,363,0.6132,1524,611,154,497,0.4009,0.101,0.3261,16,0.0262
101017,101017,unm,ნიკოლოზი რურუა,101,0.279,1011,368,77,292,0.364,0.0762,0.2888,6,0.0163
101017,101017,smd_only_42,სალომე ზურაბიშვილი,261,0.721,1011,368,77,292,0.364,0.0762,0.2888,6,0.0163
101018,101018,unm,ნიკოლოზი რურუა,162,0.3894,1129,427,101,350,0.3782,0.0895,0.31,10,0.0234
101018,101018,smd_only_42,სალომე ზურაბიშვილი,254,0.6106,1129,427,101,350,0.3782,0.0895,0.31,10,0.0234
101019,101019,unm,ნიკოლოზი რურუა,171,0.3245,1509,537,115,405,0.3559,0.0762,0.2684,10,0.0186
101019,101019,smd_only_42,სალომე ზურაბიშვილი,356,0.6755,1509,537,115,405,0.3559,0.0762,0.2684,10,0.0186
101020,101020,unm,ნიკოლოზი რურუა,260,0.4214,1445,638,186,505,0.4415,0.1287,0.3495,20,0.0313
101020,101020,smd_only_42,სალომე ზურაბიშვილი,357,0.5786,1445,638,186,505,0.4415,0.1287,0.3495,20,0.0313
101021,101021,unm,ნიკოლოზი რურუა,218,0.3778,1431,586,163,484,0.4095,0.1139,0.3382,9,0.0154
101021,101021,smd_only_42,სალომე ზურაბიშვილი,359,0.6222,1431,586,163,484,0.4095,0.1139,0.3382,9,0.0154
101022,101022,unm,ნიკოლოზი რურუა,160,0.264,1541,621,145,452,0.403,0.0941,0.2933,15,0.0242
101022,101022,smd_only_42,სალომე ზურაბიშვილი,446,0.736,1541,621,145,452,0.403,0.0941,0.2933,15,0.0242
