district_id,party_id,votes,vote_share,seats_pr,seats_smd,threshold_status
tbilisi,gd,155000,0.420,65,20,passed
tbilisi,unm,118000,0.320,36,5,passed
tbilisi,european_georgia,30000,0.081,7,0,passed
tbilisi,girchi,26000,0.070,6,0,passed
tbilisi,labour,22000,0.060,6,0,passed
tbilisi,other,18000,0.049,0,5,failed
imereti,gd,90000,0.548,65,20,passed
imereti,unm,38000,0.232,36,5,passed
imereti,european_georgia,10000,0.061,7,0,passed
imereti,girchi,8000,0.049,6,0,passed
imereti,labour,7000,0.043,6,0,passed
imereti,other,11000,0.067,0,5,failed
kakheti,gd,68000,0.600,65,20,passed
kakheti,unm,24000,0.212,36,5,passed
kakheti,european_georgia,6000,0.053,7,0,passed
kakheti,girchi,5000,0.044,6,0,passed
kakheti,labour,4500,0.040,6,0,passed
kakheti,other,6000,0.053,0,5,failed
samtskhe,gd,36000,0.558,65,20,passed
samtskhe,unm,11000,0.171,36,5,passed
samtskhe,european_georgia,3000,0.047,7,0,passed
samtskhe,girchi,2500,0.039,6,0,passed
samtskhe,labour,2500,0.039,6,0,passed
samtskhe,other,9500,0.147,0,5,failed
kvemo_kartli,gd,48000,0.516,65,20,passed
kvemo_kartli,unm,22000,0.237,36,5,passed
kvemo_kartli,european_georgia,5000,0.054,7,0,passed
kvemo_kartli,girchi,4000,0.043,6,0,passed
kvemo_kartli,labour,4000,0.043,6,0,passed
kvemo_kartli,other,10000,0.108,0,5,failed
shida_kartli,gd,44000,0.578,65,20,passed
shida_kartli,unm,16000,0.211,36,5,passed
shida_kartli,european_georgia,4000,0.053,7,0,passed
shida_kartli,girchi,3500,0.046,6,0,passed
shida_kartli,labour,3000,0.039,6,0,passed
shida_kartli,other,5500,0.072,0,5,failed
mtskheta,gd,26000,0.542,65,20,passed
mtskheta,unm,10000,0.208,36,5,passed
mtskheta,european_georgia,2500,0.052,7,0,passed
mtskheta,girchi,2000,0.042,6,0,passed
mtskheta,labour,2000,0.042,6,0,passed
mtskheta,other,5500,0.115,0,5,failed
racha,gd,10000,0.645,65,20,passed
racha,unm,2800,0.181,36,5,passed
racha,european_georgia,600,0.039,7,0,passed
racha,girchi,500,0.032,6,0,passed
racha,labour,500,0.032,6,0,passed
racha,other,1100,0.071,0,5,failed
samegrelo,gd,60000,0.476,65,20,passed
samegrelo,unm,34000,0.270,36,5,passed
samegrelo,european_georgia,9000,0.071,7,0,passed
samegrelo,girchi,7000,0.056,6,0,passed
samegrelo,labour,6000,0.048,6,0,passed
samegrelo,other,10000,0.079,0,5,failed
guria,gd,20000,0.500,65,20,passed
guria,unm,10000,0.250,36,5,passed
guria,european_georgia,2500,0.063,7,0,passed
guria,girchi,2000,0.050,6,0,passed
guria,labour,2000,0.050,6,0,passed
guria,other,3500,0.088,0,5,failed
adjara,gd,46000,0.440,65,20,passed
adjara,unm,30000,0.287,36,5,passed
adjara,european_georgia,8000,0.077,7,0,passed
adjara,girchi,6000,0.057,6,0,passed
adjara,labour,6000,0.057,6,0,passed
adjara,other,8500,0.081,0,5,failed
