district_id,district_name_ka,district_name_en,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,საქართველო,Georgia,giorgi_margvelashvili,1012569,0.621213,3627684,1660976,608511,1377608,3537719,89965,0.457861,0.167741,0.379749,30101,0.018122
national,საქართველო,Georgia,bakradze,354103,0.217243,3627684,1660976,608511,1377608,3537719,89965,0.457861,0.167741,0.379749,30101,0.018122
national,საქართველო,Georgia,nino_burjanadze,166061,0.101879,3627684,1660976,608511,1377608,3537719,89965,0.457861,0.167741,0.379749,30101,0.018122
national,საქართველო,Georgia,natelashvili,46984,0.028825,3627684,1660976,608511,1377608,3537719,89965,0.457861,0.167741,0.379749,30101,0.018122
national,საქართველო,Georgia,giorgi_targamadze,17354,0.010647,3627684,1660976,608511,1377608,3537719,89965,0.457861,0.167741,0.379749,30101,0.018122
national,საქართველო,Georgia,koba_davitashvili,9838,0.006036,3627684,1660976,608511,1377608,3537719,89965,0.457861,0.167741,0.379749,30101,0.018122
national,საქართველო,Georgia,zurab_kharatishvili,3724,0.002285,3627684,1660976,608511,1377608,3537719,89965,0.457861,0.167741,0.379749,30101,0.018122
national,საქართველო,Georgia,levan_chachua,3093,0.001898,3627684,1660976,608511,1377608,3537719,89965,0.457861,0.167741,0.379749,30101,0.018122
national,საქართველო,Georgia,nino_chanishvili,2278,0.001398,3627684,1660976,608511,1377608,3537719,89965,0.457861,0.167741,0.379749,30101,0.018122
national,საქართველო,Georgia,sergo_javakhidze,2108,0.001293,3627684,1660976,608511,1377608,3537719,89965,0.457861,0.167741,0.379749,30101,0.018122
national,საქართველო,Georgia,giorgi_liluashvili_2013,1909,0.001171,3627684,1660976,608511,1377608,3537719,89965,0.457861,0.167741,0.379749,30101,0.018122
national,საქართველო,Georgia,akaki_asatiani_2013,1576,0.000967,3627684,1660976,608511,1377608,3537719,89965,0.457861,0.167741,0.379749,30101,0.018122
national,საქართველო,Georgia,mikheil_saluashvili,1376,0.000844,3627684,1660976,608511,1377608,3537719,89965,0.457861,0.167741,0.379749,30101,0.018122
