district_id,party_id,candidate_name,votes,vote_share,threshold_status
tbilisi_w,zourabichvili,სალომე ზურაბიშვილი,89000,0.330,notrun
tbilisi_w,vashadze,გრიგოლ ვაშაძე,110000,0.408,notrun
tbilisi_w,bakradze,დავით ბაქრაძე,38000,0.141,notrun
tbilisi_w,other_pres,სხვა კანდიდატები,33000,0.122,notrun
tbilisi_e,zourabichvili,სალომე ზურაბიშვილი,96000,0.354,notrun
tbilisi_e,vashadze,გრიგოლ ვაშაძე,110000,0.405,notrun
tbilisi_e,bakradze,დავით ბაქრაძე,37000,0.136,notrun
tbilisi_e,other_pres,სხვა კანდიდატები,28500,0.105,notrun
imereti_w,zourabichvili,სალომე ზურაბიშვილი,50000,0.431,notrun
imereti_w,vashadze,გრიგოლ ვაშაძე,43000,0.370,notrun
imereti_w,bakradze,დავით ბაქრაძე,12000,0.103,notrun
imereti_w,other_pres,სხვა კანდიდატები,11300,0.097,notrun
imereti_e,zourabichvili,სალომე ზურაბიშვილი,48000,0.411,notrun
imereti_e,vashadze,გრიგოლ ვაშაძე,44000,0.377,notrun
imereti_e,bakradze,დავით ბაქრაძე,12000,0.103,notrun
imereti_e,other_pres,სხვა კანდიდატები,12700,0.109,notrun
kakheti_w,zourabichvili,სალომე ზურაბიშვილი,37000,0.443,notrun
kakheti_w,vashadze,გრიგოლ ვაშაძე,29000,0.347,notrun
kakheti_w,bakradze,დავით ბაქრაძე,9000,0.108,notrun
kakheti_w,other_pres,სხვა კანდიდატები,8500,0.102,notrun
kakheti_e,zourabichvili,სალომე ზურაბიშვილი,35000,0.421,notrun
kakheti_e,vashadze,გრიგოლ ვაშაძე,30000,0.361,notrun
kakheti_e,bakradze,დავით ბაქრაძე,9000,0.108,notrun
kakheti_e,other_pres,სხვა კანდიდატები,9200,0.111,notrun
samtskhe_w,zourabichvili,სალომე ზურაბიშვილი,20000,0.465,notrun
samtskhe_w,vashadze,გრიგოლ ვაშაძე,14000,0.326,notrun
samtskhe_w,bakradze,დავით ბაქრაძე,4700,0.109,notrun
samtskhe_w,other_pres,სხვა კანდიდატები,4300,0.100,notrun
samtskhe_e,zourabichvili,სალომე ზურაბიშვილი,18000,0.447,notrun
samtskhe_e,vashadze,გრიგოლ ვაშაძე,13000,0.323,notrun
samtskhe_e,bakradze,დავით ბაქრაძე,4300,0.107,notrun
samtskhe_e,other_pres,სხვა კანდიდატები,4900,0.122,notrun
kvemo_kartli_w,zourabichvili,სალომე ზურაბიშვილი,28000,0.406,notrun
kvemo_kartli_w,vashadze,გრიგოლ ვაშაძე,24500,0.355,notrun
kvemo_kartli_w,bakradze,დავით ბაქრაძე,8000,0.116,notrun
kvemo_kartli_w,other_pres,სხვა კანდიდატები,8500,0.123,notrun
kvemo_kartli_e,zourabichvili,სალომე ზურაბიშვილი,27000,0.390,notrun
kvemo_kartli_e,vashadze,გრიგოლ ვაშაძე,24500,0.354,notrun
kvemo_kartli_e,bakradze,დავით ბაქრაძე,8000,0.116,notrun
kvemo_kartli_e,other_pres,სხვა კანდიდატები,9500,0.137,notrun
shida_kartli_w,zourabichvili,სალომე ზურაბიშვილი,25000,0.442,notrun
shida_kartli_w,vashadze,გრიგოლ ვაშაძე,19000,0.336,notrun
shida_kartli_w,bakradze,დავით ბაქრაძე,6000,0.106,notrun
shida_kartli_w,other_pres,სხვა კანდიდატები,6500,0.115,notrun
shida_kartli_e,zourabichvili,სალომე ზურაბიშვილი,23000,0.429,notrun
shida_kartli_e,vashadze,გრიგოლ ვაშაძე,18000,0.335,notrun
shida_kartli_e,bakradze,დავით ბაქრაძე,6000,0.112,notrun
shida_kartli_e,other_pres,სხვა კანდიდატები,6900,0.129,notrun
mtskheta_w,zourabichvili,სალომე ზურაბიშვილი,14000,0.448,notrun
mtskheta_w,vashadze,გრიგოლ ვაშაძე,10500,0.336,notrun
mtskheta_w,bakradze,დავით ბაქრაძე,3200,0.102,notrun
mtskheta_w,other_pres,სხვა კანდიდატები,3500,0.112,notrun
mtskheta_e,zourabichvili,სალომე ზურაბიშვილი,13000,0.434,notrun
mtskheta_e,vashadze,გრიგოლ ვაშაძე,10500,0.350,notrun
mtskheta_e,bakradze,დავით ბაქრაძე,3300,0.110,notrun
mtskheta_e,other_pres,სხვა კანდიდატები,3200,0.107,notrun
racha_w,zourabichvili,სალომე ზურაბიშვილი,5500,0.473,notrun
racha_w,vashadze,გრიგოლ ვაშაძე,3700,0.318,notrun
racha_w,bakradze,დავით ბაქრაძე,1200,0.103,notrun
racha_w,other_pres,სხვა კანდიდატები,1200,0.103,notrun
racha_e,zourabichvili,სალომე ზურაბიშვილი,5000,0.451,notrun
racha_e,vashadze,გრიგოლ ვაშაძე,3800,0.343,notrun
racha_e,bakradze,დავით ბაქრაძე,1100,0.099,notrun
racha_e,other_pres,სხვა კანდიდატები,1200,0.108,notrun
samegrelo_w,zourabichvili,სალომე ზურაბიშვილი,32000,0.404,notrun
samegrelo_w,vashadze,გრიგოლ ვაშაძე,29000,0.366,notrun
samegrelo_w,bakradze,დავით ბაქრაძე,8500,0.107,notrun
samegrelo_w,other_pres,სხვა კანდიდატები,10000,0.126,notrun
samegrelo_e,zourabichvili,სალომე ზურაბიშვილი,30000,0.390,notrun
samegrelo_e,vashadze,გრიგოლ ვაშაძე,29000,0.377,notrun
samegrelo_e,bakradze,დავით ბაქრაძე,8500,0.111,notrun
samegrelo_e,other_pres,სხვა კანდიდატები,9000,0.117,notrun
guria_w,zourabichvili,სალომე ზურაბიშვილი,11500,0.430,notrun
guria_w,vashadze,გრიგოლ ვაშაძე,9500,0.355,notrun
guria_w,bakradze,დავით ბაქრაძე,3000,0.112,notrun
guria_w,other_pres,სხვა კანდიდატები,2700,0.101,notrun
guria_e,zourabichvili,სალომე ზურაბიშვილი,10500,0.413,notrun
guria_e,vashadze,გრიგოლ ვაშაძე,9500,0.374,notrun
guria_e,bakradze,დავით ბაქრაძე,2800,0.110,notrun
