precinct_id,district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
1001,1,zourabichvili,437,0.612045,1401,748,171,619,1391,10,0.533904,0.122056,0.441827,34,0.045455
1001,1,vashadze,277,0.387955,1401,748,171,619,1391,10,0.533904,0.122056,0.441827,34,0.045455
1002,1,zourabichvili,409,0.597953,1297,724,229,597,1287,10,0.558211,0.176561,0.460293,40,0.055249
1002,1,vashadze,275,0.402047,1297,724,229,597,1287,10,0.558211,0.176561,0.460293,40,0.055249
1003,1,zourabichvili,469,0.581886,1512,852,218,688,1503,9,0.563492,0.14418,0.455026,46,0.053991
1003,1,vashadze,337,0.418114,1512,852,218,688,1503,9,0.563492,0.14418,0.455026,46,0.053991
1004,1,zourabichvili,422,0.656299,1216,676,201,570,1208,8,0.555921,0.165296,0.46875,33,0.048817
1004,1,vashadze,221,0.343701,1216,676,201,570,1208,8,0.555921,0.165296,0.46875,33,0.048817
1005,1,zourabichvili,507,0.653351,1548,812,209,650,1539,9,0.524548,0.135013,0.419897,36,0.044335
1005,1,vashadze,269,0.346649,1548,812,209,650,1539,9,0.524548,0.135013,0.419897,36,0.044335
1006,1,zourabichvili,628,0.64876,1627,1016,314,847,1471,156,0.624462,0.192993,0.52059,48,0.047244
1006,1,vashadze,340,0.35124,1627,1016,314,847,1471,156,0.624462,0.192993,0.52059,48,0.047244
1007,1,zourabichvili,477,0.630119,1435,795,173,574,1425,10,0.554007,0.120557,0.4,38,0.047799
1007,1,vashadze,280,0.369881,1435,795,173,574,1425,10,0.554007,0.120557,0.4,38,0.047799
1008,1,zourabichvili,425,0.668239,1163,662,175,536,1152,11,0.569218,0.150473,0.460877,26,0.039275
1008,1,vashadze,211,0.331761,1163,662,175,536,1152,11,0.569218,0.150473,0.460877,26,0.039275
1009,1,zourabichvili,543,0.624138,1564,921,214,700,1552,12,0.588875,0.136829,0.44757,51,0.055375
1009,1,vashadze,327,0.375862,1564,921,214,700,1552,12,0.588875,0.136829,0.44757,51,0.055375
1010,1,zourabichvili,576,0.650113,1538,925,255,734,1528,10,0.60143,0.1658,0.477243,39,0.042162
1010,1,vashadze,310,0.349887,1538,925,255,734,1528,10,0.60143,0.1658,0.477243,39,0.042162
1011,1,zourabichvili,504,0.592244,1541,884,267,691,1531,10,0.573653,0.173264,0.44841,33,0.03733
1011,1,vashadze,347,0.407756,1541,884,267,691,1531,10,0.573653,0.173264,0.44841,33,0.03733
1012,1,zourabichvili,561,0.631757,1558,928,240,540,1547,11,0.595635,0.154044,0.346598,40,0.043103
