district_id,party_id,votes,vote_share,threshold_status
tbilisi_w,yes,160000,0.800,notrun
tbilisi_w,no,40000,0.200,notrun
tbilisi_e,yes,102000,0.843,notrun
tbilisi_e,no,19000,0.157,notrun
imereti_w,yes,57000,0.740,notrun
imereti_w,no,20000,0.260,notrun
imereti_e,yes,61000,0.782,notrun
imereti_e,no,17000,0.218,notrun
kakheti_w,yes,41000,0.701,notrun
kakheti_w,no,17500,0.299,notrun
kakheti_e,yes,42000,0.743,notrun
kakheti_e,no,14500,0.257,notrun
samtskhe_w,yes,18500,0.661,notrun
samtskhe_w,no,9500,0.339,notrun
samtskhe_e,yes,18500,0.690,notrun
samtskhe_e,no,8300,0.310,notrun
kvemo_kartli_w,yes,35000,0.690,notrun
kvemo_kartli_w,no,15700,0.310,notrun
kvemo_kartli_e,yes,36000,0.730,notrun
kvemo_kartli_e,no,13300,0.270,notrun
shida_kartli_w,yes,27000,0.720,notrun
shida_kartli_w,no,10500,0.280,notrun
shida_kartli_e,yes,28000,0.741,notrun
shida_kartli_e,no,9800,0.259,notrun
mtskheta_w,yes,15000,0.743,notrun
mtskheta_w,no,5200,0.257,notrun
mtskheta_e,yes,15000,0.758,notrun
mtskheta_e,no,4800,0.242,notrun
racha_w,yes,5300,0.688,notrun
racha_w,no,2400,0.312,notrun
racha_e,yes,5200,0.712,notrun
racha_e,no,2100,0.288,notrun
samegrelo_w,yes,42000,0.759,notrun
samegrelo_w,no,13300,0.241,notrun
samegrelo_e,yes,43000,0.786,notrun
samegrelo_e,no,11700,0.214,notrun
guria_w,yes,15000,0.781,notrun
guria_w,no,4200,0.219,notrun
guria_e,yes,15000,0.798,notrun
guria_e,no,3800,0.202,notrun
adjara_w,yes,37000,0.730,notrun
adjara_w,no,13700,0.270,notrun
adjara_e,yes,37000,0.751,notrun
adjara_e,no,12300,0.249,notrun
