precinct_id,precinct_key,district_id,electoral_district_id,vote_type,district_name_ka,precinct_number,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
79001,79001,79001,79,pr,ბათუმი,1,1474,466,0.3161,170,400,1462,12,0.1153,0.2714,12,0.0258
79002,79002,79002,79,pr,ბათუმი,2,1360,494,0.3632,184,412,1352,8,0.1353,0.3029,22,0.0445
79003,79003,79003,79,pr,ბათუმი,3,1404,382,0.2721,123,310,1391,13,0.0876,0.2208,18,0.0471
79004,79004,79004,79,pr,ბათუმი,4,1286,410,0.3188,179,347,1237,49,0.1392,0.2698,8,0.0195
79005,79005,79005,79,pr,ბათუმი,5,994,123,0.1237,53,108,987,7,0.0533,0.1087,4,0.0325
79006,79006,79006,79,pr,ბათუმი,6,1200,473,0.3942,143,385,1180,20,0.1192,0.3208,12,0.0254
79007,79007,79007,79,pr,ბათუმი,7,1041,337,0.3237,95,279,1031,10,0.0913,0.268,14,0.0415
79008,79008,79008,79,pr,ბათუმი,8,1462,430,0.2941,163,368,1452,10,0.1115,0.2517,19,0.0442
79009,79009,79009,79,pr,ბათუმი,9,1361,396,0.291,114,329,1338,23,0.0838,0.2417,22,0.0556
79010,79010,79010,79,pr,ბათუმი,10,1407,540,0.3838,143,440,1396,11,0.1016,0.3127,27,0.05
79011,79011,79011,79,pr,ბათუმი,11,1201,393,0.3272,139,342,1193,8,0.1157,0.2848,22,0.056
79012,79012,79012,79,pr,ბათუმი,12,1445,469,0.3246,152,397,1434,11,0.1052,0.2747,27,0.0576
79013,79013,79013,79,pr,ბათუმი,13,1518,435,0.2866,180,398,1506,12,0.1186,0.2622,24,0.0552
79014,79014,79014,79,pr,ბათუმი,14,1244,582,0.4678,283,508,937,307,0.2275,0.4084,26,0.0447
79015,79015,79015,79,pr,ბათუმი,15,2006,943,0.4701,540,841,1414,592,0.2692,0.4192,17,0.018
79016,79016,79016,79,pr,ბათუმი,16,1129,415,0.3676,189,380,1120,9,0.1674,0.3366,19,0.0458
79017,79017,79017,79,pr,ბათუმი,17,1450,562,0.3876,267,478,1441,9,0.1841,0.3297,14,0.0249
79018,79018,79018,79,pr,ბათუმი,18,1533,472,0.3079,245,401,1524,9,0.1598,0.2616,15,0.0318
79019,79019,79019,79,pr,ბათუმი,19,1446,485,0.3354,223,416,1436,10,0.1542,0.2877,21,0.0433
79020,79020,79020,79,pr,ბათუმი,20,1465,455,0.3106,244,408,1452,13,0.1666,0.2785,9,0.0198
