district_id,vote_type,district_name_ka,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
national,pr,აჭარა,295795,109212,0.3692,39468,85449,289869,5926,0.1334,0.2889,2840,0.026
79,pr,ბათუმი,100532,31809,0.3164,13549,27516,98360,2172,0.1348,0.2737,1316,0.0414
80,pr,ქედა,16039,10437,0.6507,3561,7774,15933,106,0.222,0.4847,172,0.0165
81,pr,ქობულეთი,67494,29257,0.4335,10082,22317,66888,606,0.1494,0.3307,722,0.0247
82,pr,შუახევი,15422,9826,0.6371,3429,6910,15236,186,0.2223,0.4481,153,0.0156
83,pr,ხელვაჩაური,72249,11813,0.1635,4379,9743,69609,2640,0.0606,0.1349,300,0.0254
84,pr,ხულო,24059,16070,0.6679,4468,11189,23843,216,0.1857,0.4651,177,0.011
national,smd,აჭარა,293103,103930,0.3546,37495,80518,287278,5825,0.1279,0.2747,2919,0.0281
79,smd,ბათუმი,100529,32180,0.3201,13543,27457,98360,2169,0.1347,0.2731,1199,0.0373
80,smd,ქედა,15439,10428,0.6754,3561,7774,15333,106,0.2306,0.5035,223,0.0214
81,smd,ქობულეთი,67493,29236,0.4332,10082,22317,66888,605,0.1494,0.3307,767,0.0262
82,smd,შუახევი,13277,9469,0.7132,3435,6718,13108,169,0.2587,0.506,158,0.0167
83,smd,ხელვაჩაური,72309,6488,0.0897,2407,5064,69746,2563,0.0333,0.07,336,0.0518
84,smd,ხულო,24056,16129,0.6705,4467,11188,23843,213,0.1857,0.4651,236,0.0146
