precinct_id,precinct_key,district_id,registered,voted,turnout_pct,voted_noon,voted_5pm
68079004,68.79.4,68079004,1475,659,0.4468,0,0
68079033,68.79.33,68079033,1557,724,0.465,0,0
68079034,68.79.34,68079034,1298,528,0.4068,0,0
68079036,68.79.36,68079036,1429,646,0.4521,0,0
68079037,68.79.37,68079037,1460,718,0.4918,0,0
68079038,68.79.38,68079038,1582,748,0.4728,0,0
68079039,68.79.39,68079039,1516,723,0.4769,0,0
68079040,68.79.40,68079040,1515,789,0.5208,0,0
68079041,68.79.41,68079041,1235,590,0.4777,0,0
68079042,68.79.42,68079042,1467,750,0.5112,0,0
68079043,68.79.43,68079043,1224,568,0.4641,0,0
68079045,68.79.45,68079045,1442,701,0.4861,0,0
68079048,68.79.48,68079048,1549,565,0.3648,0,0
68079050,68.79.50,68079050,1568,780,0.4974,0,0
68079057,68.79.57,68079057,1493,727,0.4869,0,0
68079059,68.79.59,68079059,1440,667,0.4632,0,0
68079060,68.79.60,68079060,1472,700,0.4755,0,0
68079073,68.79.73,68079073,1522,665,0.4369,0,0
68079074,68.79.74,68079074,1313,546,0.4158,0,0
68079081,68.79.81,68079081,1050,512,0.4876,0,0
68079096,68.79.96,68079096,1606,798,0.4969,0,0
68079097,68.79.97,68079097,1490,757,0.5081,0,0
68079098,68.79.98,68079098,1384,716,0.5173,0,0
68079102,68.79.102,68079102,1397,410,0.2935,0,0
68081013,68.81.13,68081013,997,547,0.5486,0,0
68081014,68.81.14,68081014,1312,637,0.4855,0,0
68081015,68.81.15,68081015,1543,734,0.4757,0,0
68081016,68.81.16,68081016,296,150,0.5068,0,0
68081017,68.81.17,68081017,1279,737,0.5762,0,0
68081018,68.81.18,68081018,677,485,0.7164,0,0
68081033,68.81.33,68081033,678,444,0.6549,0,0
68081034,68.81.34,68081034,1071,468,0.437,0,0
68081035,68.81.35,68081035,920,516,0.5609,0,0
68081041,68.81.41,68081041,1338,732,0.5471,0,0
68081042,68.81.42,68081042,1264,643,0.5087,0,0
68081043,68.81.43,68081043,1525,761,0.499,0,0
68081044,68.81.44,68081044,1499,753,0.5023,0,0
68081046,68.81.46,68081046,1561,961,0.6156,0,0
68081047,68.81.47,68081047,1147,638,0.5562,0,0
68081058,68.81.58,68081058,1005,565,0.5622,0,0
68081063,68.81.63,68081063,806,423,0.5248,0,0
69079001,69.79.1,69079001,1345,612,0.455,0,0
69079002,69.79.2,69079002,1300,640,0.4923,0,0
69079003,69.79.3,69079003,1520,635,0.4178,0,0
69079006,69.79.6,69079006,1471,776,0.5275,0,0
69079007,69.79.7,69079007,1165,621,0.533,0,0
69079008,69.79.8,69079008,1175,610,0.5191,0,0
69079009,69.79.9,69079009,1329,652,0.4906,0,0
69079010,69.79.10,69079010,1642,827,0.5037,0,0
69079012,69.79.12,69079012,1455,689,0.4735,0,0
69079013,69.79.13,69079013,1554,762,0.4903,0,0
69079014,69.79.14,69079014,1455,737,0.5065,0,0
69079024,69.79.24,69079024,1585,676,0.4265,0,0
69079025,69.79.25,69079025,1494,660,0.4418,0,0
69079026,69.79.26,69079026,1522,710,0.4665,0,0
69079027,69.79.27,69079027,1507,702,0.4658,0,0
69079028,69.79.28,69079028,1341,640,0.4773,0,0
69079029,69.79.29,69079029,1507,665,0.4413,0,0
69079030,69.79.30,69079030,1579,799,0.506,0,0
69079032,69.79.32,69079032,1516,736,0.4855,0,0
69079035,69.79.35,69079035,1521,715,0.4701,0,0
69079044,69.79.44,69079044,1591,685,0.4305,0,0
69079046,69.79.46,69079046,1519,708,0.4661,0,0
69079049,69.79.49,69079049,1478,770,0.521,0,0
69079051,69.79.51,69079051,1419,666,0.4693,0,0
69079052,69.79.52,69079052,1437,730,0.508,0,0
69079053,69.79.53,69079053,1306,712,0.5452,0,0
69079055,69.79.55,69079055,1003,518,0.5165,0,0
69079056,69.79.56,69079056,1440,757,0.5257,0,0
69079061,69.79.61,69079061,1273,511,0.4014,0,0
69079062,69.79.62,69079062,1648,760,0.4612,0,0
69079063,69.79.63,69079063,1485,702,0.4727,0,0
69079064,69.79.64,69079064,1545,672,0.435,0,0
69079065,69.79.65,69079065,1563,831,0.5317,0,0
69079066,69.79.66,69079066,1160,554,0.4776,0,0
69079070,69.79.70,69079070,743,345,0.4643,0,0
69079071,69.79.71,69079071,1087,514,0.4729,0,0
69079072,69.79.72,69079072,1149,545,0.4743,0,0
69079103,69.79.103,69079103,1627,665,0.4087,0,0
70079011,70.79.11,70079011,1515,708,0.4673,0,0
70079015,70.79.15,70079015,1604,745,0.4645,0,0
70079016,70.79.16,70079016,1649,863,0.5233,0,0
70079017,70.79.17,70079017,1476,717,0.4858,0,0
70079018,70.79.18,70079018,1565,747,0.4773,0,0
70079019,70.79.19,70079019,1472,665,0.4518,0,0
70079020,70.79.20,70079020,1607,657,0.4088,0,0
70079021,70.79.21,70079021,1606,663,0.4128,0,0
70079022,70.79.22,70079022,1385,712,0.5141,0,0
70079023,70.79.23,70079023,1567,774,0.4939,0,0
70079031,70.79.31,70079031,1552,722,0.4652,0,0
70079047,70.79.47,70079047,1295,570,0.4402,0,0
70079054,70.79.54,70079054,1459,763,0.523,0,0
70079058,70.79.58,70079058,1469,699,0.4758,0,0
70079067,70.79.67,70079067,1485,657,0.4424,0,0
70079068,70.79.68,70079068,1529,788,0.5154,0,0
70079069,70.79.69,70079069,1049,505,0.4814,0,0
70079075,70.79.75,70079075,1090,514,0.4716,0,0
70079076,70.79.76,70079076,1642,843,0.5134,0,0
70079077,70.79.77,70079077,1088,562,0.5165,0,0
70079078,70.79.78,70079078,1036,620,0.5985,0,0
70079079,70.79.79,70079079,1287,689,0.5354,0,0
70079082,70.79.82,70079082,696,391,0.5618,0,0
70079083,70.79.83,70079083,960,476,0.4958,0,0
70079084,70.79.84,70079084,1041,520,0.4995,0,0
70079085,70.79.85,70079085,1378,691,0.5015,0,0
70079086,70.79.86,70079086,952,538,0.5651,0,0
70079087,70.79.87,70079087,1470,732,0.498,0,0
70079088,70.79.88,70079088,1321,620,0.4693,0,0
70079089,70.79.89,70079089,1533,680,0.4436,0,0
70079090,70.79.90,70079090,1069,485,0.4537,0,0
70079091,70.79.91,70079091,1518,802,0.5283,0,0
70079092,70.79.92,70079092,1521,920,0.6049,0,0
70079093,70.79.93,70079093,960,499,0.5198,0,0
70079094,70.79.94,70079094,1536,852,0.5547,0,0
70079095,70.79.95,70079095,1421,803,0.5651,0,0
70079099,70.79.99,70079099,1407,793,0.5636,0,0
70079100,70.79.100,70079100,814,474,0.5823,0,0
70079101,70.79.101,70079101,809,417,0.5155,0,0
70079104,70.79.104,70079104,1570,747,0.4758,0,0
71081001,71.81.1,71081001,819,441,0.5385,0,0
71081002,71.81.2,71081002,1080,491,0.4546,0,0
71081003,71.81.3,71081003,1130,548,0.485,0,0
71081004,71.81.4,71081004,1050,627,0.5971,0,0
71081005,71.81.5,71081005,1182,591,0.5,0,0
71081006,71.81.6,71081006,726,419,0.5771,0,0
71081007,71.81.7,71081007,1243,660,0.531,0,0
71081008,71.81.8,71081008,824,437,0.5303,0,0
71081009,71.81.9,71081009,1285,723,0.5626,0,0
71081010,71.81.10,71081010,1393,828,0.5944,0,0
71081011,71.81.11,71081011,1218,683,0.5608,0,0
71081012,71.81.12,71081012,1534,1028,0.6701,0,0
71081019,71.81.19,71081019,1358,829,0.6105,0,0
71081020,71.81.20,71081020,1153,738,0.6401,0,0
71081021,71.81.21,71081021,1601,737,0.4603,0,0
71081022,71.81.22,71081022,1219,630,0.5168,0,0
71081023,71.81.23,71081023,1354,905,0.6684,0,0
71081024,71.81.24,71081024,1216,596,0.4901,0,0
71081025,71.81.25,71081025,724,500,0.6906,0,0
71081026,71.81.26,71081026,1145,574,0.5013,0,0
71081027,71.81.27,71081027,1574,761,0.4835,0,0
71081028,71.81.28,71081028,518,284,0.5483,0,0
71081029,71.81.29,71081029,1423,754,0.5299,0,0
71081030,71.81.30,71081030,921,520,0.5646,0,0
71081031,71.81.31,71081031,958,608,0.6347,0,0
71081032,71.81.32,71081032,1270,820,0.6457,0,0
71081036,71.81.36,71081036,1244,723,0.5812,0,0
71081037,71.81.37,71081037,213,145,0.6808,0,0
71081038,71.81.38,71081038,1173,639,0.5448,0,0
71081039,71.81.39,71081039,615,381,0.6195,0,0
71081040,71.81.40,71081040,584,339,0.5805,0,0
71081045,71.81.45,71081045,801,514,0.6417,0,0
71081048,71.81.48,71081048,1248,683,0.5473,0,0
71081049,71.81.49,71081049,866,536,0.6189,0,0
71081050,71.81.50,71081050,1121,629,0.5611,0,0
71081051,71.81.51,71081051,716,367,0.5126,0,0
71081052,71.81.52,71081052,890,426,0.4787,0,0
71081053,71.81.53,71081053,1034,483,0.4671,0,0
71081054,71.81.54,71081054,1314,673,0.5122,0,0
