district_id,vote_type,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list
tbilisi_w,pr,140000,79099,0.565,30057,53787,75144,3954
tbilisi_e,pr,142000,83070,0.585,31566,56487,78916,4153
imereti_w,pr,100000,56499,0.565,21469,38419,53674,2824
imereti_e,pr,102000,59670,0.585,22674,40575,56686,2983
kakheti_w,pr,70000,39549,0.565,15028,26893,37571,1977
kakheti_e,pr,70000,40950,0.585,15561,27846,38902,2047
samtskhe_w,pr,36000,20339,0.565,7728,13830,19322,1016
samtskhe_e,pr,36000,21060,0.585,8002,14320,20007,1053
kvemo_kartli_w,pr,88000,49719,0.565,18893,33808,47233,2485
kvemo_kartli_e,pr,88000,51480,0.585,19562,35006,48906,2574
shida_kartli_w,pr,56000,31639,0.565,12022,21514,30057,1581
shida_kartli_e,pr,56000,32759,0.585,12448,22276,31121,1637
mtskheta_w,pr,22000,12429,0.565,4723,8451,11807,621
mtskheta_e,pr,22000,12870,0.585,4890,8751,12226,643
racha_w,pr,11000,6214,0.565,2361,4225,5903,310
racha_e,pr,11000,6435,0.585,2445,4375,6113,321
samegrelo_w,pr,76000,42939,0.565,16316,29198,40792,2146
samegrelo_e,pr,76000,44460,0.585,16894,30232,42237,2223
guria_w,pr,28000,15819,0.565,6011,10756,15028,790
guria_e,pr,28000,16379,0.585,6224,11137,15560,818
adjara_w,pr,64000,36160,0.565,13740,24588,34352,1808
adjara_e,pr,64000,37440,0.585,14227,25459,35568,1872
