precinct_id,district_id,registered,voted,turnout_pct,voted_noon,voted_5pm
79001,79001,1918,1112,0.5798,336,863
79002,79002,2449,1432,0.5847,368,1059
79003,79003,2714,1599,0.5892,468,1338
79004,79004,2982,1616,0.5419,453,1295
79005,79005,2719,1634,0.601,495,1303
79006,79006,1441,944,0.6551,291,776
79007,79007,2351,1450,0.6168,380,1053
79008,79008,2681,1659,0.6188,451,1424
79009,79009,1564,1018,0.6509,307,875
79010,79010,1813,1144,0.631,377,1021
79011,79011,1727,1073,0.6213,367,939
79012,79012,1716,1121,0.6533,321,972
79013,79013,1685,1079,0.6404,331,933
79014,79014,1582,1008,0.6372,330,876
79015,79015,1573,951,0.6046,315,846
79016,79016,1702,1107,0.6504,371,979
79017,79017,1620,975,0.6019,286,818
79018,79018,1428,869,0.6085,270,775
79019,79019,2031,1194,0.5879,369,1030
79020,79020,1609,913,0.5674,331,793
79021,79021,1673,1998,1.1943,336,845
79022,79022,1680,1129,0.672,411,994
79023,79023,1883,1233,0.6548,461,1083
79024,79024,3043,1651,0.5426,452,1154
79025,79025,1404,889,0.6332,281,758
79026,79026,1710,1035,0.6053,386,894
79027,79027,1492,893,0.5985,272,753
79028,79028,1667,1032,0.6191,361,909
79029,79029,1849,1060,0.5733,302,894
79030,79030,1734,1094,0.6309,369,943
79031,79031,1876,1002,0.5341,337,868
79032,79032,2853,1655,0.5801,534,1356
79033,79033,1603,982,0.6126,292,844
79034,79034,1403,899,0.6408,262,781
79035,79035,1589,959,0.6035,277,813
79036,79036,1373,809,0.5892,231,677
79037,79037,1522,921,0.6051,319,817
79038,79038,1738,1141,0.6565,377,985
79039,79039,1482,867,0.585,265,765
79040,79040,1646,1013,0.6154,346,868
79041,79041,1520,972,0.6395,20,832
79042,79042,1873,1100,0.5873,358,944
79043,79043,2827,1526,0.5398,397,1209
79044,79044,1609,957,0.5948,311,818
79045,79045,1617,1078,0.6667,371,917
79046,79046,2868,1262,0.44,393,1037
79047,79047,1810,1045,0.5773,386,916
79048,79048,1589,1071,0.674,346,926
79049,79049,2142,1255,0.5859,371,1059
79050,79050,2197,1317,0.5995,402,1135
79051,79051,2907,1636,0.5628,442,1324
79052,79052,1381,876,0.6343,245,737
79053,79053,1358,904,0.6657,271,752
79054,79054,1573,1059,0.6732,292,887
79055,79055,1410,846,0.6,238,711
79056,79056,1525,885,0.5803,242,712
79057,79057,1551,1011,0.6518,287,809
79058,79058,1230,754,0.613,224,635
79059,79059,1409,890,0.6317,251,751
79060,79060,1465,967,0.6601,337,833
79061,79061,1046,656,0.6272,172,519
79062,79062,1584,979,0.6181,368,838
79063,79063,1424,907,0.6369,284,751
79064,79064,1395,806,0.5778,238,700
79065,79065,802,543,0.6771,177,454
79066,79066,2602,1620,0.6226,429,1268
79067,79067,1581,1042,0.6591,325,900
79068,79068,1556,1030,0.662,302,889
79069,79069,1772,1089,0.6146,392,938
79070,79070,1762,1077,0.6112,370,940
79071,79071,1678,1035,0.6168,301,864
79072,79072,1504,871,0.5791,246,722
79073,79073,1647,975,0.592,251,876
79074,79074,1526,862,0.5649,268,762
79075,79075,1550,969,0.6252,281,825
79076,79076,1521,937,0.616,306,800
79077,79077,1701,1076,0.6326,333,893
79078,79078,1197,756,0.6316,265,665
79079,79079,1183,691,0.5841,238,598
79080,79080,1409,870,0.6175,298,758
79081,79081,1171,787,0.6721,244,690
79082,79082,1432,899,0.6278,268,741
79083,79083,1049,687,0.6549,217,580
79084,79084,1508,963,0.6386,318,821
79085,79085,1681,1133,0.674,353,925
79086,79086,1538,1110,0.7217,397,991
79087,79087,1553,1032,0.6645,294,845
79088,79088,1223,782,0.6394,268,679
79089,79089,2376,1853,0.7799,513,1340
79090,79090,0,40,0,34,37
80001,80001,1332,1043,0.783,275,840
80002,80002,854,666,0.7799,196,578
80003,80003,299,245,0.8194,76,205
80004,80004,502,393,0.7829,92,328
80005,80005,207,207,1,60,194
80006,80006,410,303,0.739,95,225
80007,80007,630,462,0.7333,133,372
80008,80008,298,233,0.7819,61,182
80009,80009,410,410,1,123,345
80010,80010,369,287,0.7778,88,223
80011,80011,403,320,0.794,113,258
80012,80012,442,346,0.7828,83,272
80013,80013,702,531,0.7564,152,470
80014,80014,401,401,1,140,331
80015,80015,739,526,0.7118,151,444
80016,80016,563,397,0.7052,128,339
80017,80017,859,665,0.7742,151,501
80018,80018,187,158,0.8449,23,118
80019,80019,469,361,0.7697,116,309
80020,80020,276,227,0.8225,60,205
80021,80021,484,386,0.7975,112,330
80022,80022,443,358,0.8081,115,212
80023,80023,221,173,0.7828,71,162
80024,80024,514,392,0.7626,105,320
80025,80025,494,372,0.753,95,306
80026,80026,525,371,0.7067,93,293
80027,80027,404,303,0.75,87,234
80028,80028,945,945,1,240,753
80029,80029,503,353,0.7018,103,299
81001,81001,834,591,0.7086,241,531
81002,81002,1013,588,0.5805,208,492
81003,81003,1125,649,0.5769,250,571
81004,81004,896,538,0.6004,1191,479
81005,81005,2258,1351,0.5983,376,1081
81006,81006,650,435,0.6692,467,393
81007,81007,1698,994,0.5854,290,836
81008,81008,1206,753,0.6244,256,663
81009,81009,816,524,0.6422,155,431
81010,81010,1283,805,0.6274,87,703
81011,81011,1358,888,0.6539,252,750
81012,81012,1045,732,0.7005,255,616
81013,81013,328,237,0.7226,111,211
