"district_id","registered","main_list","special_list","voted_noon","voted_5pm","voted","invalid_ballots","turnout_pct","noon_pct","five_pct","invalid_pct"
"1",50369,50106,263,6830,17008,21850,889,0.433799,0.135599,0.337668,0.040686
"10",133221,132358,863,17267,35935,45172,1879,0.339076,0.129612,0.26974,0.041597
"11",45892,45533,359,7359,14579,18926,1600,0.412403,0.160355,0.317681,0.08454
"12",54361,54147,214,8620,18147,25538,1121,0.469785,0.15857,0.333824,0.043895
"13",31206,30949,257,5456,11544,15086,483,0.483433,0.174838,0.369929,0.032016
"14",22814,22622,192,4542,9043,11725,275,0.513939,0.199088,0.396379,0.023454
"15",39318,39013,305,6984,14686,18763,982,0.477211,0.177629,0.373518,0.052337
"16",29422,29195,227,5540,12075,15877,982,0.53963,0.188294,0.410407,0.06185
"17",56254,55912,342,7353,17092,24159,992,0.429463,0.130711,0.303836,0.041061
"18",30608,30429,179,5162,11103,14815,537,0.484024,0.168649,0.362748,0.036247
"19",10949,10893,56,2463,5133,6518,249,0.595306,0.224952,0.46881,0.038202
"2",93629,93014,615,11884,30571,39499,1701,0.421867,0.126926,0.326512,0.043064
"20",105193,104456,737,14993,29680,37915,1860,0.360433,0.142528,0.282148,0.049057
"21",71657,71192,465,10353,20430,26139,2316,0.364779,0.14448,0.285108,0.088603
"22",96747,96000,747,12926,24600,31622,2250,0.326853,0.133606,0.254271,0.071153
"23",56687,56163,524,8869,17600,21491,1480,0.379117,0.156456,0.310477,0.068866
"24",22595,22301,294,5047,10034,11563,859,0.51175,0.223368,0.444081,0.074289
"25",21187,20997,190,4065,8025,9218,526,0.435078,0.191863,0.37877,0.057062
"26",20929,20793,136,4119,8093,9711,397,0.463997,0.196808,0.386688,0.040881
"27",44545,44199,346,7220,15357,20392,1038,0.457784,0.162083,0.344752,0.050902
"28",26321,26057,264,4709,9553,11841,676,0.449869,0.178907,0.362942,0.05709
"29",5325,5242,83,965,2206,2758,98,0.517934,0.181221,0.414272,0.035533
"3",118406,117607,799,14554,36495,47140,1992,0.398122,0.122916,0.308219,0.042257
"30",40066,39868,198,6412,13942,17338,852,0.432736,0.160036,0.347976,0.049141
"32",110536,109517,1019,15054,33114,44580,1920,0.403308,0.136191,0.299577,0.043069
"33",37365,37163,202,6744,13968,17961,858,0.48069,0.18049,0.373826,0.04777
"35",49947,49382,565,6354,13916,18230,919,0.364987,0.127215,0.278615,0.050411
"36",26847,26681,166,4958,10424,12254,699,0.456438,0.184676,0.388274,0.057043
"37",34692,34467,225,6451,14064,17562,632,0.506226,0.185951,0.405396,0.035987
"38",15525,15426,99,3278,7497,9012,360,0.580483,0.211143,0.482899,0.039947
"39",9772,9710,62,2583,5738,6789,219,0.69474,0.264327,0.587188,0.032258
"4",41423,41118,305,5352,11815,15256,584,0.368298,0.129204,0.285228,0.03828
"40",38352,38016,336,7299,14804,17998,905,0.469285,0.190316,0.386003,0.050283
"41",21157,20960,197,4346,9002,10810,729,0.510942,0.205417,0.425486,0.067438
"43",6613,6484,129,1853,3316,3911,149,0.591411,0.280206,0.501437,0.038098
"44",11806,11717,89,3554,6309,7292,276,0.617652,0.301033,0.534389,0.03785
"45",11530,11425,105,3475,5761,6828,247,0.592194,0.301388,0.499653,0.036175
"46",6012,5916,96,2101,3326,3737,101,0.62159,0.349468,0.553227,0.027027
"47",8402,8242,160,2463,4283,4998,195,0.594858,0.293144,0.50976,0.039016
