district_id,vote_type,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list
tbilisi_w,smd,260000,152100,0.585,57798,103428,144495,7605
tbilisi_e,smd,264000,159720,0.605,60693,108609,151734,7986
imereti_w,smd,120000,70200,0.585,26676,47736,66690,3510
imereti_e,smd,122000,73810,0.605,28047,50190,70119,3690
kakheti_w,smd,84000,49140,0.585,18673,33415,46683,2457
kakheti_e,smd,84000,50820,0.605,19311,34557,48279,2541
samtskhe_w,smd,40000,23400,0.585,8892,15912,22230,1170
samtskhe_e,smd,40000,24200,0.605,9196,16456,22990,1210
kvemo_kartli_w,smd,110000,64349,0.585,24452,43757,61131,3217
kvemo_kartli_e,smd,110000,66550,0.605,25289,45254,63222,3327
shida_kartli_w,smd,70000,40950,0.585,15561,27846,38902,2047
shida_kartli_e,smd,70000,42350,0.605,16093,28798,40232,2117
mtskheta_w,smd,28000,16379,0.585,6224,11137,15560,818
mtskheta_e,smd,28000,16940,0.605,6437,11519,16093,847
racha_w,smd,13000,7604,0.585,2889,5170,7223,380
racha_e,smd,13000,7865,0.605,2988,5348,7471,393
samegrelo_w,smd,88000,51480,0.585,19562,35006,48906,2574
samegrelo_e,smd,88000,53240,0.605,20231,36203,50578,2662
guria_w,smd,34000,19890,0.585,7558,13525,18895,994
guria_e,smd,34000,20570,0.605,7816,13987,19541,1028
adjara_w,smd,80000,46800,0.585,17784,31824,44460,2340
adjara_e,smd,80000,48400,0.605,18392,32912,45980,2420
