district_id,vote_type,district_name_ka,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
national,pr,ეროვნული,3558078,1831938,0.5149,756367,1426956,3459871,98207,0.2126,0.401,51812,0.0283
1,pr,მთაწმინდა,47295,26671,0.5639,9082,19314,46914,381,0.192,0.4084,612,0.0229
2,pr,ვაკე,97281,52487,0.5395,20854,43818,96564,717,0.2144,0.4504,1019,0.0194
3,pr,საბურთალო,120445,61710,0.5124,23531,49179,118410,2035,0.1954,0.4083,1359,0.022
4,pr,კრწანისი,46419,23029,0.4961,7343,16266,43626,2793,0.1582,0.3504,719,0.0312
5,pr,ისანი,110792,46647,0.421,19006,38202,109652,1140,0.1715,0.3448,1350,0.0289
6,pr,სამგორი,147054,60093,0.4086,24561,49056,145223,1831,0.167,0.3336,1405,0.0234
7,pr,ჩუღურეთი,55571,26722,0.4809,10511,21727,54644,927,0.1891,0.391,654,0.0245
8,pr,დიდუბე,72830,38209,0.5246,15368,32688,70836,1994,0.211,0.4488,733,0.0192
9,pr,ნაძალადევი,129278,60314,0.4665,24499,50165,128357,921,0.1895,0.388,1884,0.0312
10,pr,გლდანი,147748,61395,0.4155,26502,51448,146682,1066,0.1794,0.3482,1360,0.0222
11,pr,საგარეჯო,39201,24569,0.6267,9576,18957,38163,1038,0.2443,0.4836,761,0.031
12,pr,გურჯაანი,53808,30128,0.5599,11434,21296,53561,247,0.2125,0.3958,635,0.0211
13,pr,სიღნაღი,30537,19467,0.6375,7708,14657,30311,226,0.2524,0.48,541,0.0278
14,pr,დედოფლისწყარო,23297,12667,0.5437,5545,10365,23180,117,0.238,0.4449,264,0.0208
15,pr,ლაგოდეხი,38036,21574,0.5672,8253,16468,37816,220,0.217,0.433,763,0.0354
16,pr,ყვარელი,29283,17541,0.599,7025,13510,29127,156,0.2399,0.4614,627,0.0357
17,pr,თელავი,57441,28709,0.4998,10084,19681,56316,1125,0.1756,0.3426,1139,0.0397
18,pr,ახმეტა,29427,17485,0.5942,6497,12754,29296,131,0.2208,0.4334,264,0.0151
19,pr,თიანეთი,11590,6695,0.5777,2592,5026,11495,95,0.2236,0.4336,254,0.0379
20,pr,რუსთავი,104580,45218,0.4324,19036,35653,103241,1339,0.182,0.3409,1112,0.0246
21,pr,გარდაბანი,67557,31953,0.473,11467,23049,63436,4121,0.1697,0.3412,1281,0.0401
22,pr,მარნეული,81173,38142,0.4699,15935,28359,79922,1251,0.1963,0.3494,1892,0.0496
23,pr,ბოლნისი,54974,29355,0.534,11997,21555,54513,461,0.2182,0.3921,958,0.0326
24,pr,დმანისი,22354,11279,0.5046,6199,9835,21928,426,0.2773,0.44,325,0.0288
25,pr,წალკა,22149,7124,0.3216,3305,5981,21810,339,0.1492,0.27,231,0.0324
26,pr,თეთრიწყარო,20085,10432,0.5194,4131,7662,19844,241,0.2057,0.3815,280,0.0268
27,pr,მცხეთა,33974,24505,0.7213,8233,16549,33020,954,0.2423,0.4871,354,0.0144
28,pr,დუშეთი,26332,15711,0.5967,5751,11520,25930,402,0.2184,0.4375,447,0.0285
29,pr,ყაზბეგი,5999,3242,0.5404,1092,2676,5943,56,0.182,0.4461,84,0.0259
30,pr,კასპი,39075,25027,0.6405,9462,18709,38844,231,0.2421,0.4788,477,0.0191
