precinct_id,district_id,electoral_district_id,vote_type,district_name_ka,precinct_number,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
1001,1001,1,pr,მთაწმინდის,1,1489,948,0.6367,444,829,1481,8,0.2982,0.5567,10,0.0105
1002,1002,1,pr,მთაწმინდის,2,1311,855,0.6522,296,731,1299,12,0.2258,0.5576,27,0.0316
1003,1003,1,pr,მთაწმინდის,3,1480,1006,0.6797,375,895,1470,10,0.2534,0.6047,29,0.0288
1004,1004,1,pr,მთაწმინდის,4,1190,804,0.6756,369,744,1178,12,0.3101,0.6252,19,0.0236
1005,1005,1,pr,მთაწმინდის,5,1509,1064,0.7051,421,956,1500,9,0.279,0.6335,26,0.0244
1006,1006,1,pr,მთაწმინდის,6,1501,998,0.6649,385,883,1489,12,0.2565,0.5883,33,0.0331
1007,1007,1,pr,მთაწმინდის,7,2838,2204,0.7766,753,1861,1470,1368,0.2653,0.6557,49,0.0222
1008,1008,1,pr,მთაწმინდის,8,1163,1792,1.5408,695,1586,1141,22,0.5976,1.3637,66,0.0368
1009,1009,1,pr,მთაწმინდის,9,1406,962,0.6842,413,840,1394,12,0.2937,0.5974,23,0.0239
1010,1010,1,pr,მთაწმინდის,10,1601,1072,0.6696,338,900,1595,6,0.2111,0.5621,26,0.0243
1011,1011,1,pr,მთაწმინდის,11,1629,1072,0.6581,422,947,1623,6,0.2591,0.5813,21,0.0196
1012,1012,1,pr,მთაწმინდის,12,1569,1098,0.6998,376,939,1559,10,0.2396,0.5985,28,0.0255
1013,1013,1,pr,მთაწმინდის,13,1331,833,0.6258,345,740,1322,9,0.2592,0.556,30,0.036
1014,1014,1,pr,მთაწმინდის,14,1292,863,0.668,335,746,1281,11,0.2593,0.5774,19,0.022
1015,1015,1,pr,მთაწმინდის,15,1322,915,0.6921,324,794,1313,9,0.2451,0.6006,33,0.0361
1016,1016,1,pr,მთაწმინდის,16,1585,1081,0.682,431,944,1577,8,0.2719,0.5956,39,0.0361
1017,1017,1,pr,მთაწმინდის,17,1133,724,0.639,314,625,1122,11,0.2771,0.5516,26,0.0359
1018,1018,1,pr,მთაწმინდის,18,1124,777,0.6913,377,707,1114,10,0.3354,0.629,18,0.0232
1019,1019,1,pr,მთაწმინდის,19,1528,1073,0.7022,290,867,1518,10,0.1898,0.5674,20,0.0186
1020,1020,1,pr,მთაწმინდის,20,1463,1025,0.7006,455,920,1457,6,0.311,0.6288,40,0.039
1021,1021,1,pr,მთაწმინდის,21,1465,1038,0.7085,323,867,1455,10,0.2205,0.5918,49,0.0472
1022,1022,1,pr,მთაწმინდის,22,1514,1122,0.7411,418,1004,1503,11,0.2761,0.6631,21,0.0187
1023,1023,1,pr,მთაწმინდის,23,1410,1058,0.7504,412,896,1400,10,0.2922,0.6355,30,0.0284
1024,1024,1,pr,მთაწმინდის,24,1599,1137,0.7111,392,930,1591,8,0.2452,0.5816,27,0.0237
1025,1025,1,pr,მთაწმინდის,25,1143,817,0.7148,390,751,1134,9,0.3412,0.657,32,0.0392
1026,1026,1,pr,მთაწმინდის,26,1295,929,0.7174,358,813,1284,11,0.2764,0.6278,35,0.0377
1027,1027,1,pr,მთაწმინდის,27,1635,1170,0.7156,399,984,1625,10,0.244,0.6018,24,0.0205
1028,1028,1,pr,მთაწმინდის,28,1363,1005,0.7373,336,861,1352,11,0.2465,0.6317,24,0.0239
1029,1029,1,pr,მთაწმინდის,29,1522,1098,0.7214,247,721,1511,11,0.1623,0.4737,18,0.0164
1030,1030,1,pr,მთაწმინდის,30,1231,896,0.7279,226,711,1223,8,0.1836,0.5776,31,0.0346
1031,1031,1,pr,მთაწმინდის,31,1419,1022,0.7202,307,795,1409,10,0.2163,0.5603,29,0.0284
1032,1032,1,pr,მთაწმინდის,32,1293,1035,0.8005,432,898,1291,2,0.3341,0.6945,34,0.0329
1033,1033,1,pr,მთაწმინდის,33,1266,874,0.6904,272,750,1253,13,0.2148,0.5924,28,0.032
1034,1034,1,pr,მთაწმინდის,34,1247,354,0.2839,121,298,1234,13,0.097,0.239,10,0.0282
1035,1035,1,pr,მთაწმინდის,35,2363,1921,0.8129,746,1768,1197,1166,0.3157,0.7482,48,0.025
1036,1036,1,pr,მთაწმინდის,36,1457,1201,0.8243,87,184,297,1160,0.0597,0.1263,47,0.0391
1037,1037,1,pr,მთაწმინდის,37,1579,1122,0.7106,363,943,1577,2,0.2299,0.5972,23,0.0205
1038,1038,1,pr,მთაწმინდის,38,918,759,0.8268,318,668,917,1,0.3464,0.7277,21,0.0277
1039,1039,1,pr,მთაწმინდის,39,1215,1003,0.8255,395,878,1214,1,0.3251,0.7226,28,0.0279
2001,2001,2,pr,ვაკის,1,1360,974,0.7162,381,852,1352,8,0.2801,0.6265,18,0.0185
2002,2002,2,pr,ვაკის,2,1438,1067,0.742,426,954,1427,11,0.2962,0.6634,25,0.0234
2003,2003,2,pr,ვაკის,3,1456,1068,0.7335,396,930,1446,10,0.272,0.6387,25,0.0234
2004,2004,2,pr,ვაკის,4,1510,1127,0.7464,361,964,1496,14,0.2391,0.6384,29,0.0257
2005,2005,2,pr,ვაკის,5,1335,1008,0.7551,329,813,1325,10,0.2464,0.609,22,0.0218
2006,2006,2,pr,ვაკის,6,1348,1008,0.7478,300,817,1335,13,0.2226,0.6061,24,0.0238
2007,2007,2,pr,ვაკის,7,1122,849,0.7567,317,761,1114,8,0.2825,0.6783,28,0.033
2008,2008,2,pr,ვაკის,8,1271,894,0.7034,398,807,1259,12,0.3131,0.6349,22,0.0246
2009,2009,2,pr,ვაკის,9,1253,882,0.7039,329,728,1241,12,0.2626,0.581,36,0.0408
2010,2010,2,pr,ვაკის,10,1406,1052,0.7482,378,893,1396,10,0.2688,0.6351,30,0.0285
2011,2011,2,pr,ვაკის,11,1396,1045,0.7486,358,854,1385,11,0.2564,0.6117,32,0.0306
2012,2012,2,pr,ვაკის,12,1389,1046,0.7531,353,897,1380,9,0.2541,0.6458,24,0.0229
2013,2013,2,pr,ვაკის,13,1415,1089,0.7696,356,918,1409,6,0.2516,0.6488,21,0.0193
2014,2014,2,pr,ვაკის,14,1407,1047,0.7441,317,843,1395,12,0.2253,0.5991,22,0.021
2015,2015,2,pr,ვაკის,15,1465,1091,0.7447,355,930,1455,10,0.2423,0.6348,27,0.0247
2016,2016,2,pr,ვაკის,16,1378,936,0.6792,299,716,1369,9,0.217,0.5196,22,0.0235
2017,2017,2,pr,ვაკის,17,1471,1069,0.7267,323,830,1462,9,0.2196,0.5642,22,0.0206
2018,2018,2,pr,ვაკის,18,1097,836,0.7621,271,707,1088,9,0.247,0.6445,23,0.0275
2019,2019,2,pr,ვაკის,19,1617,889,0.5498,325,725,1610,7,0.201,0.4484,21,0.0236
2020,2020,2,pr,ვაკის,20,354,254,0.7175,140,238,350,4,0.3955,0.6723,8,0.0315
2021,2021,2,pr,ვაკის,21,1269,373,0.2939,94,310,1256,13,0.0741,0.2443,4,0.0107
2022,2022,2,pr,ვაკის,22,959,269,0.2805,79,222,946,13,0.0824,0.2315,3,0.0112
2023,2023,2,pr,ვაკის,23,1475,1094,0.7417,348,902,1464,11,0.2359,0.6115,30,0.0274
2024,2024,2,pr,ვაკის,24,1507,1076,0.714,453,927,1499,8,0.3006,0.6151,23,0.0214
2025,2025,2,pr,ვაკის,25,1474,1088,0.7381,377,934,1469,5,0.2558,0.6336,25,0.023
2026,2026,2,pr,ვაკის,26,1501,1090,0.7262,368,917,1491,10,0.2452,0.6109,29,0.0266
2027,2027,2,pr,ვაკის,27,1363,2057,1.5092,398,888,1355,8,0.292,0.6515,59,0.0287
2028,2028,2,pr,ვაკის,28,2583,1874,0.7255,803,1593,1466,1117,0.3109,0.6167,38,0.0203
2029,2029,2,pr,ვაკის,29,1350,956,0.7081,323,801,1342,8,0.2393,0.5933,25,0.0262
2030,2030,2,pr,ვაკის,30,1371,974,0.7104,362,814,1360,11,0.264,0.5937,28,0.0287
2031,2031,2,pr,ვაკის,31,1165,790,0.6781,280,706,1154,11,0.2403,0.606,20,0.0253
2032,2032,2,pr,ვაკის,32,923,649,0.7031,270,573,912,11,0.2925,0.6208,11,0.0169
2033,2033,2,pr,ვაკის,33,1163,810,0.6965,304,727,1156,7,0.2614,0.6251,20,0.0247
2034,2034,2,pr,ვაკის,34,1384,1028,0.7428,421,890,1374,10,0.3042,0.6431,20,0.0195
2035,2035,2,pr,ვაკის,35,1241,863,0.6954,289,764,1230,11,0.2329,0.6156,25,0.029
2036,2036,2,pr,ვაკის,36,1425,978,0.6863,373,858,1414,11,0.2618,0.6021,24,0.0245
2037,2037,2,pr,ვაკის,37,1277,929,0.7275,346,795,1262,15,0.2709,0.6226,24,0.0258
2038,2038,2,pr,ვაკის,38,1366,948,0.694,371,834,1357,9,0.2716,0.6105,21,0.0222
2039,2039,2,pr,ვაკის,39,1518,1040,0.6851,384,892,1508,10,0.253,0.5876,22,0.0212
2040,2040,2,pr,ვაკის,40,1059,757,0.7148,313,678,1048,11,0.2956,0.6402,19,0.0251
2041,2041,2,pr,ვაკის,41,898,634,0.706,295,560,887,11,0.3285,0.6236,10,0.0158
2042,2042,2,pr,ვაკის,42,1461,972,0.6653,400,853,1450,11,0.2738,0.5838,30,0.0309
2043,2043,2,pr,ვაკის,43,1429,1005,0.7033,444,894,1423,6,0.3107,0.6256,23,0.0229
2044,2044,2,pr,ვაკის,44,1452,1017,0.7004,334,861,1442,10,0.23,0.593,35,0.0344
2045,2045,2,pr,ვაკის,45,1481,1049,0.7083,423,900,1473,8,0.2856,0.6077,32,0.0305
2046,2046,2,pr,ვაკის,46,1283,897,0.6991,359,785,1274,9,0.2798,0.6118,15,0.0167
2047,2047,2,pr,ვაკის,47,1302,921,0.7074,417,821,1292,10,0.3203,0.6306,20,0.0217
2048,2048,2,pr,ვაკის,48,1381,929,0.6727,353,786,1372,9,0.2556,0.5692,20,0.0215
2049,2049,2,pr,ვაკის,49,1337,979,0.7322,320,798,1324,13,0.2393,0.5969,16,0.0163
