district_id,vote_type,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list
tbilisi_w,pr,192000,112896,0.588,44029,79027,107251,5644
tbilisi_e,pr,196000,119168,0.608,46475,83417,113209,5958
imereti_w,pr,116000,68208,0.588,26601,47745,64797,3410
imereti_e,pr,118000,71744,0.608,27980,50220,68156,3587
kakheti_w,pr,80000,47040,0.588,18345,32928,44688,2352
kakheti_e,pr,82000,49856,0.608,19443,34899,47363,2492
samtskhe_w,pr,44000,25872,0.588,10090,18110,24578,1293
samtskhe_e,pr,44000,26752,0.608,10433,18726,25414,1337
kvemo_kartli_w,pr,104000,61152,0.588,23849,42806,58094,3057
kvemo_kartli_e,pr,106000,64448,0.608,25134,45113,61225,3222
shida_kartli_w,pr,70000,41160,0.588,16052,28811,39102,2058
shida_kartli_e,pr,70000,42560,0.608,16598,29791,40432,2128
mtskheta_w,pr,28000,16464,0.588,6420,11524,15640,823
mtskheta_e,pr,28000,17024,0.608,6639,11916,16172,851
racha_w,pr,14000,8232,0.588,3210,5762,7820,411
racha_e,pr,14000,8512,0.608,3319,5958,8086,425
samegrelo_w,pr,90000,52920,0.588,20638,37044,50274,2646
samegrelo_e,pr,90000,54720,0.608,21340,38304,51984,2736
guria_w,pr,36000,21168,0.588,8255,14817,20109,1058
guria_e,pr,36000,21888,0.608,8536,15321,20793,1094
adjara_w,pr,76000,44688,0.588,17428,31281,42453,2234
adjara_e,pr,76000,46208,0.608,18021,32345,43897,2310
