"district_id","vote_type","registered","voted","turnout_pct","voted_noon","voted_5pm","main_list","special_list"
"adjara_e","pr",97418,65235,0.66964,19831,54037,96527,891
"adjara_w","pr",222317,136451,0.613768,43078,114273,220592,1725
"guria_e","pr",58829,36709,0.623995,12082,30589,58288,541
"guria_w","pr",44969,28726,0.638796,9746,24371,44620,349
"imereti_e","pr",319937,182142,0.569306,66849,155439,316313,3624
"imereti_w","pr",147775,94039,0.636366,35230,81628,146725,1050
"kakheti_e","pr",114906,70426,0.612901,28470,60356,113987,919
"kakheti_w","pr",182167,107397,0.589552,41642,90590,180857,1310
"kvemo_kartli_e","pr",203161,105113,0.517388,42828,89159,199783,3378
"kvemo_kartli_w","pr",202918,95683,0.471535,40497,80438,200998,1920
"mtskheta_e","pr",44485,25451,0.572125,9580,21210,43834,651
"mtskheta_w","pr",46401,29617,0.638284,11310,24905,44995,1406
"racha_e","pr",19050,12825,0.673228,5818,11651,18673,377
"racha_w","pr",16606,10372,0.624594,4947,9245,16225,381
"samegrelo_e","pr",125729,73727,0.586396,27669,63958,124900,829
"samegrelo_w","pr",206678,109963,0.53205,43208,93652,205121,1557
"samtskhe_e","pr",58799,33244,0.565384,11310,26918,58220,579
"samtskhe_w","pr",86074,55699,0.647106,20405,48334,85367,707
"shida_kartli_e","pr",112690,66877,0.59346,24277,56375,111656,1034
"shida_kartli_w","pr",124890,74989,0.60044,27230,63102,124059,831
"tbilisi_e","pr",602696,338393,0.561465,131218,289843,595026,7670
"tbilisi_w","pr",441723,292116,0.66131,107592,250861,436117,5606
