"district_id","vote_type","registered","voted","turnout_pct","voted_noon","voted_5pm","main_list","special_list"
"national","pr",3480218,2045194,0.587663,764817,1740934,3442883,37335
"1","pr",54095,35737,0.660634,13208,30769,53540,555
"10","pr",153230,87048,0.568087,34604,74957,150072,3158
"11","pr",46858,25404,0.542149,10070,21858,46471,387
"12","pr",50178,32867,0.655008,13354,28368,49850,328
"13","pr",28202,18360,0.651018,7111,15676,27949,253
"14","pr",20596,12717,0.61745,5033,11124,20352,244
"15","pr",38565,21696,0.562583,9119,18749,38349,216
"16","pr",27543,17653,0.640925,7207,14807,27337,206
"17","pr",55474,33146,0.597505,12130,27301,55050,424
"18","pr",29657,15980,0.538827,6088,13063,29486,171
"19","pr",10895,6622,0.607802,2464,5541,10797,98
"2","pr",111516,76984,0.69034,27907,65823,110528,988
"20","pr",108816,62236,0.571938,26995,54099,106310,2506
"21","pr",74950,33899,0.452288,12502,27376,74270,680
"22","pr",102297,44415,0.434177,17579,35699,101572,725
"23","pr",56770,26463,0.466144,11712,22666,56341,429
"24","pr",23540,12773,0.542608,5624,11244,23068,472
"25","pr",19395,8978,0.462903,3331,7684,19203,192
"26","pr",20311,12032,0.592388,5582,10829,20017,294
"27","pr",46401,29617,0.638284,11310,24905,44995,1406
"28","pr",27635,15311,0.554044,5784,12840,27226,409
"29","pr",5955,3518,0.590764,1332,2829,5811,144
"3","pr",145865,96782,0.663504,35193,83387,143099,2766
"30","pr",39225,23021,0.586896,9064,19515,38973,252
"32","pr",112690,66877,0.59346,24277,56375,111656,1034
"33","pr",37435,23328,0.62316,8622,19932,37212,223
"35","pr",48230,28640,0.593821,9544,23655,47874,356
"36","pr",26824,16213,0.604421,5719,13849,26643,181
"37","pr",33799,21572,0.638244,7523,18768,33535,264
"38","pr",15529,10754,0.692511,4086,9390,15418,111
"39","pr",9922,7160,0.721629,3077,6327,9771,151
"4","pr",42346,22880,0.540311,8965,19593,42028,318
"40","pr",37808,21015,0.555835,6541,16790,37496,312
"41","pr",20991,12229,0.582583,4769,10128,20724,267
"43","pr",7136,4590,0.643217,1953,4175,6967,169
"44","pr",11914,8235,0.691204,3865,7476,11706,208
"45","pr",10626,6956,0.654621,3302,6279,10430,196
"46","pr",5980,3416,0.571237,1645,2966,5795,185
"47","pr",9244,5427,0.587084,2255,4677,8955,289
"48","pr",19049,13498,0.708594,5450,12025,18897,152
"49","pr",32162,20871,0.648934,7590,17616,32032,130
"5","pr",118411,64257,0.542661,24607,54490,117408,1003
"50","pr",40585,27806,0.68513,10727,24596,40200,385
"52","pr",20852,12799,0.613802,5044,11245,20704,148
"53","pr",23473,14667,0.624846,5483,12660,23356,117
"54","pr",43816,25269,0.576707,8526,21102,43568,248
"55","pr",22132,14065,0.635505,5088,12013,21748,384
"56","pr",41109,24052,0.585079,8797,20939,40801,308
"57","pr",20225,12342,0.610235,5133,11149,20020,205
"58","pr",50165,28941,0.576916,11118,24914,49206,959
"59","pr",154144,81871,0.531133,29123,68808,152506,1638
"6","pr",152305,83431,0.547789,32431,71364,150203,2102
"60","pr",58829,36709,0.623995,12082,30589,58288,541
"61","pr",27425,16839,0.614002,5810,14315,27254,171
"62","pr",17544,11887,0.677554,3936,10056,17366,178
"63","pr",19842,12751,0.642627,4531,11058,19727,115
"64","pr",38433,22439,0.583847,9128,19764,38161,272
"65","pr",31005,19972,0.644154,6588,16844,30822,183
"66","pr",26656,16314,0.61202,5928,13975,26500,156
"67","pr",117778,55682,0.472771,23495,47566,116968,810
"68","pr",27748,15276,0.550526,5806,12916,27547,201
"69","pr",20903,13606,0.650911,5064,11649,20829,74
"7","pr",67768,41251,0.608709,15915,35376,67233,535
"70","pr",40798,22223,0.544708,8082,19161,40512,286
"79","pr",155600,94701,0.608618,29332,79536,154357,1243
"8","pr",62479,41362,0.662014,15369,35506,61717,762
"80","pr",15683,11849,0.755531,3337,9728,15581,102
"81","pr",66717,41750,0.625778,13746,34737,66235,482
"82","pr",14634,9828,0.671587,2787,8250,14454,180
"83","pr",43717,28631,0.654917,9804,23983,43271,446
"84","pr",23384,14927,0.638342,3903,12076,23221,163
"9","pr",136404,80777,0.592189,30611,69439,135315,1089
