precinct_id,district_id,vote_type,district_name_en,precinct_number,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
1001,1,pr,Mtatsminda,1,1457,721,0.494852,174,565,1399,64,0.119423,0.387783,6,0.008322
1002,1,pr,Mtatsminda,2,1266,708,0.559242,229,570,1227,39,0.180885,0.450237,17,0.024011
1003,1,pr,Mtatsminda,3,1385,737,0.53213,175,643,1297,88,0.126354,0.46426,12,0.016282
1004,1,pr,Mtatsminda,4,1147,647,0.56408,188,521,1106,49,0.163906,0.454228,10,0.015456
1005,1,pr,Mtatsminda,5,1467,682,0.464894,142,648,1414,53,0.096796,0.441718,10,0.014663
1006,1,pr,Mtatsminda,6,2907,1931,0.664259,168,492,2841,1661,0.057792,0.169247,33,0.01709
1007,1,pr,Mtatsminda,7,1351,742,0.549223,199,618,1306,53,0.147298,0.457439,14,0.018868
1008,1,pr,Mtatsminda,8,1562,947,0.606274,300,800,1531,31,0.192061,0.512164,24,0.025343
1009,1,pr,Mtatsminda,9,1554,754,0.485199,157,570,1500,56,0.10103,0.366795,11,0.014589
1010,1,pr,Mtatsminda,10,1654,805,0.486699,181,630,1603,51,0.109432,0.380895,13,0.016149
1011,1,pr,Mtatsminda,11,1540,839,0.544805,233,737,1476,78,0.151299,0.478571,7,0.008343
1012,1,pr,Mtatsminda,12,1538,849,0.552016,196,670,1493,47,0.127438,0.435631,8,0.009423
1013,1,pr,Mtatsminda,13,1300,663,0.51,183,559,1235,75,0.140769,0.43,24,0.036199
1014,1,pr,Mtatsminda,14,1335,729,0.546067,202,572,1289,48,0.151311,0.428464,11,0.015089
1015,1,pr,Mtatsminda,15,1321,702,0.531416,169,597,1322,69,0.127933,0.45193,9,0.012821
1016,1,pr,Mtatsminda,16,1496,840,0.561497,210,730,1434,78,0.140374,0.487968,9,0.010714
1017,1,pr,Mtatsminda,17,1596,804,0.503759,170,603,1542,56,0.106516,0.37782,6,0.007463
