district_id,vote_type,district_name_en,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
national,pr,National,3528595,1982966,0.56197,562649,1566957,3449669,175786,0.159454,0.444074,33618,0.016953
1,pr,Mtatsminda,48603,26251,0.540111,6183,19923,46911,3673,0.127214,0.409913,425,0.01619
2,pr,Vake,97686,56858,0.582049,13627,44426,94888,3901,0.139498,0.454784,994,0.017482
3,pr,Saburtalo,117025,64688,0.552771,16447,51212,114662,5399,0.140543,0.437616,1044,0.016139
4,pr,Krtsanisi,51032,27040,0.529864,6927,20822,51164,2365,0.135738,0.408018,653,0.024149
5,pr,Isani,110394,51077,0.462679,14462,42771,108559,5997,0.131003,0.38744,668,0.013078
6,pr,Samgori,147834,68193,0.461281,21275,58136,143460,9185,0.143911,0.393252,1188,0.017421
7,pr,Chugureti,56556,28713,0.507691,7543,23257,55169,2808,0.133372,0.411221,426,0.014836
8,pr,Didube,73234,42253,0.576959,11775,35146,72568,3664,0.160786,0.479914,563,0.013324
9,pr,Nadzaladevi,131094,66541,0.507582,18963,55600,127864,5043,0.144652,0.424123,1051,0.015795
10,pr,Gldani,148742,70083,0.471172,21408,57757,148840,6678,0.143927,0.388303,1087,0.01551
11,pr,Sagarejo,41157,24603,0.597784,7092,18457,39865,1678,0.172316,0.448453,491,0.019957
12,pr,Gurjaani,55204,32578,0.590138,8635,27000,54160,2295,0.15642,0.489095,739,0.022684
13,pr,Signagi,32211,22666,0.703673,6006,17784,31519,902,0.186458,0.55211,311,0.013721
14,pr,Dedoplistskaro,23007,12173,0.5291,2967,9943,22562,611,0.128961,0.432173,198,0.016266
15,pr,Lagodekhi,37869,22182,0.585756,5587,17033,37035,1070,0.147535,0.449787,304,0.013705
16,pr,Kvareli,29185,18225,0.624465,5084,14684,28220,1161,0.174199,0.503135,240,0.013169
17,pr,Telavi,57313,32510,0.567236,8478,24804,55758,1849,0.147925,0.432781,657,0.020209
18,pr,Akhmeta,29019,15242,0.525242,4151,12090,28354,826,0.143044,0.416624,179,0.011744
19,pr,Tianeti,11470,6235,0.543592,2258,4897,11255,321,0.196861,0.42694,78,0.01251
20,pr,Rustavi,102637,46551,0.45355,15431,38646,101205,3090,0.150345,0.376531,682,0.014651
21,pr,Gardabani,73509,41257,0.561251,9549,28120,71961,8537,0.129902,0.382538,1102,0.026711
22,pr,Marneuli,87837,62319,0.709485,19161,45675,87726,2391,0.218143,0.519997,652,0.010462
23,pr,Bolnisi,55119,34377,0.623687,10927,26508,52881,1638,0.198244,0.480923,625,0.018181
24,pr,Dmanisi,22040,11454,0.519691,3529,9312,21562,1090,0.160118,0.422505,236,0.020604
25,pr,Tsalka,23029,9152,0.397412,3685,9746,22382,762,0.160016,0.423206,144,0.015734
26,pr,Tetritskaro,18391,11050,0.600837,2634,8419,19504,814,0.143222,0.457778,171,0.015475
27,pr,Mtskheta,35765,24131,0.67471,6104,17579,35550,928,0.17067,0.491514,371,0.015374
28,pr,Dusheti,25302,12931,0.511066,4328,10742,24939,975,0.171054,0.424551,195,0.01508
29,pr,Kazbegi,6268,2360,0.376516,548,1856,6060,308,0.087428,0.296107,56,0.023729
30,pr,Kaspi,37907,23620,0.623104,5508,18380,37193,977,0.145303,0.484871,295,0.012489
31,pr,Akhalgori,6253,4061,0.649448,1047,3371,6064,371,0.16744,0.539101,81,0.019946
32,pr,Gori,101668,65096,0.64028,18510,47354,99644,6084,0.182063,0.465771,1084,0.016652
33,pr,Kareli,35629,24300,0.682029,6686,19418,35023,1035,0.187656,0.545005,432,0.017778
35,pr,Khashuri,49301,34659,0.703008,8386,26012,47875,3882,0.170098,0.527616,734,0.021178
36,pr,Borjomi,27625,16715,0.605068,5004,14258,27189,815,0.18114,0.516127,216,0.012923
37,pr,Akhaltsikhe,36103,26902,0.745146,5731,19710,35667,1324,0.15874,0.545938,526,0.019552
38,pr,Adigeni,15747,12728,0.808281,2725,9234,15427,398,0.173049,0.586397,96,0.007542
