precinct_id,district_id,vote_type,district_name_ka,district_name_en,precinct_number,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
1001,1,pr,მთაწმინდა,Mtatsminda,1,1464,764,0.521858,233,640,1453,11,0.159153,0.437158,22,0.028796
1002,1,pr,მთაწმინდა,Mtatsminda,2,1292,690,0.534056,210,558,1281,11,0.162539,0.431889,22,0.031884
1003,1,pr,მთაწმინდა,Mtatsminda,3,1449,783,0.540373,208,621,1440,9,0.143547,0.428571,22,0.028097
1004,1,pr,მთაწმინდა,Mtatsminda,4,1194,631,0.528476,170,533,1182,12,0.142379,0.446399,21,0.033281
1005,1,pr,მთაწმინდა,Mtatsminda,5,1515,769,0.507591,203,611,1497,18,0.133993,0.4033,21,0.027308
1006,1,pr,მთაწმინდა,Mtatsminda,6,1497,805,0.537742,242,674,1488,9,0.161657,0.450234,18,0.02236
1007,1,pr,მთაწმინდა,Mtatsminda,7,1466,767,0.523192,223,615,1456,10,0.152115,0.419509,16,0.02086
1008,1,pr,მთაწმინდა,Mtatsminda,8,1146,580,0.506108,133,445,1134,12,0.116056,0.388307,12,0.02069
1009,1,pr,მთაწმინდა,Mtatsminda,9,1393,2103,1.509691,798,1921,1367,26,0.572864,1.379038,61,0.029006
1010,1,pr,მთაწმინდა,Mtatsminda,10,1582,811,0.512642,254,671,1576,6,0.160556,0.424147,20,0.024661
1011,1,pr,მთაწმინდა,Mtatsminda,11,1608,826,0.513682,222,668,1601,7,0.13806,0.415423,9,0.010896
1012,1,pr,მთაწმინდა,Mtatsminda,12,1532,842,0.549608,189,667,1524,8,0.123368,0.435379,25,0.029691
1013,1,pr,მთაწმინდა,Mtatsminda,13,1307,632,0.48355,200,533,1300,7,0.153022,0.407804,14,0.022152
1014,1,pr,მთაწმინდა,Mtatsminda,14,1218,646,0.530378,155,546,1211,7,0.127258,0.448276,16,0.024768
1015,1,pr,მთაწმინდა,Mtatsminda,15,1305,722,0.553257,223,607,1294,11,0.170881,0.465134,26,0.036011
1016,1,pr,მთაწმინდა,Mtatsminda,16,1539,844,0.548408,235,701,1532,7,0.152697,0.455491,30,0.035545
1017,1,pr,მთაწმინდა,Mtatsminda,17,1074,535,0.498138,145,455,1065,9,0.135009,0.42365,16,0.029907
1018,1,pr,მთაწმინდა,Mtatsminda,18,1095,625,0.570776,185,540,1087,8,0.16895,0.493151,10,0.016
1019,1,pr,მთაწმინდა,Mtatsminda,19,1482,788,0.531714,232,614,1476,6,0.156545,0.414305,19,0.024112
1020,1,pr,მთაწმინდა,Mtatsminda,20,1373,721,0.525127,192,611,1366,7,0.13984,0.445011,18,0.024965
1021,1,pr,მთაწმინდა,Mtatsminda,21,1439,809,0.562196,229,642,1428,11,0.159138,0.446143,15,0.018541
1022,1,pr,მთაწმინდა,Mtatsminda,22,1529,925,0.604971,189,655,1516,13,0.12361,0.428385,19,0.020541
1023,1,pr,მთაწმინდა,Mtatsminda,23,1399,867,0.619728,276,708,1388,11,0.197284,0.506076,24,0.027682
1024,1,pr,მთაწმინდა,Mtatsminda,24,1584,867,0.547348,270,686,1577,7,0.170455,0.433081,13,0.014994
1025,1,pr,მთაწმინდა,Mtatsminda,25,1085,596,0.549309,156,474,1075,10,0.143779,0.436866,18,0.030201
1026,1,pr,მთაწმინდა,Mtatsminda,26,1249,669,0.535629,170,560,1243,6,0.136109,0.448359,15,0.022422
1027,1,pr,მთაწმინდა,Mtatsminda,27,1660,915,0.551205,171,707,1650,10,0.103012,0.425904,13,0.014208
1028,1,pr,მთაწმინდა,Mtatsminda,28,1366,853,0.624451,255,699,1355,11,0.186676,0.511713,35,0.041032
1029,1,pr,მთაწმინდა,Mtatsminda,29,1544,906,0.586788,262,734,1535,9,0.169689,0.475389,18,0.019868
1030,1,pr,მთაწმინდა,Mtatsminda,30,1226,735,0.599511,188,603,1221,5,0.153344,0.491843,18,0.02449
1031,1,pr,მთაწმინდა,Mtatsminda,31,1400,793,0.566429,206,639,1391,9,0.147143,0.456429,14,0.017654
1032,1,pr,მთაწმინდა,Mtatsminda,32,1377,841,0.610748,267,677,1374,3,0.1939,0.491649,16,0.019025
1033,1,pr,მთაწმინდა,Mtatsminda,33,1274,695,0.545526,198,526,1263,11,0.155416,0.412873,20,0.028777
1034,1,pr,მთაწმინდა,Mtatsminda,34,1174,199,0.169506,55,160,1161,13,0.046848,0.136286,5,0.025126
1035,1,pr,მთაწმინდა,Mtatsminda,35,1261,677,0.536875,246,565,1258,3,0.195083,0.448057,18,0.026588
1036,1,pr,მთაწმინდა,Mtatsminda,36,356,216,0.606742,119,203,306,50,0.33427,0.570225,3,0.013889
1037,1,pr,მთაწმინდა,Mtatsminda,37,1590,853,0.536478,272,624,1586,4,0.171069,0.392453,8,0.009379
1038,1,pr,მთაწმინდა,Mtatsminda,38,937,527,0.562433,239,479,931,6,0.255069,0.511206,8,0.01518
1039,1,pr,მთაწმინდა,Mtatsminda,39,1245,779,0.625703,231,631,1244,1,0.185542,0.506827,12,0.015404
2001,2,pr,ვაკე,Vake,1,1271,801,0.630212,223,667,1263,8,0.175452,0.524784,21,0.026217
2002,2,pr,ვაკე,Vake,2,1406,860,0.611664,214,701,1396,10,0.152205,0.498578,41,0.047674
2003,2,pr,ვაკე,Vake,3,1448,908,0.627072,225,740,1439,9,0.155387,0.51105,42,0.046256
2004,2,pr,ვაკე,Vake,4,1442,854,0.592233,203,698,1431,11,0.140777,0.48405,29,0.033958
2005,2,pr,ვაკე,Vake,5,1535,943,0.614332,233,739,1524,11,0.151792,0.481433,15,0.015907
2006,2,pr,ვაკე,Vake,6,1326,827,0.62368,215,652,1315,11,0.162142,0.491704,27,0.032648
2007,2,pr,ვაკე,Vake,7,1060,661,0.623585,150,538,1055,5,0.141509,0.507547,24,0.036309
2008,2,pr,ვაკე,Vake,8,1246,659,0.528892,180,548,1236,10,0.144462,0.439807,14,0.021244
2009,2,pr,ვაკე,Vake,9,1231,691,0.561332,202,559,1219,12,0.164094,0.454102,15,0.021708
2010,2,pr,ვაკე,Vake,10,1339,836,0.624347,231,674,1329,10,0.172517,0.503361,44,0.052632
2011,2,pr,ვაკე,Vake,11,1340,830,0.619403,159,650,1329,11,0.118657,0.485075,29,0.03494
2012,2,pr,ვაკე,Vake,12,1327,810,0.610399,202,651,1319,8,0.152223,0.49058,19,0.023457
2013,2,pr,ვაკე,Vake,13,1425,863,0.605614,236,710,1417,8,0.165614,0.498246,21,0.024334
2014,2,pr,ვაკე,Vake,14,1370,815,0.594891,192,656,1360,10,0.140146,0.478832,31,0.038037
2015,2,pr,ვაკე,Vake,15,1391,869,0.62473,227,708,1383,8,0.163192,0.508986,22,0.025316
2016,2,pr,ვაკე,Vake,16,1265,709,0.560474,217,576,1253,12,0.171542,0.455336,29,0.040903
2017,2,pr,ვაკე,Vake,17,1403,882,0.628653,225,719,1395,8,0.160371,0.512473,17,0.019274
2018,2,pr,ვაკე,Vake,18,1195,732,0.612552,241,589,1186,9,0.201674,0.492887,11,0.015027
2019,2,pr,ვაკე,Vake,19,732,339,0.463115,123,282,721,11,0.168033,0.385246,6,0.017699
2020,2,pr,ვაკე,Vake,20,370,207,0.559459,70,176,367,3,0.189189,0.475676,5,0.024155
2021,2,pr,ვაკე,Vake,21,1153,171,0.148309,40,124,1141,12,0.034692,0.107546,6,0.035088
2022,2,pr,ვაკე,Vake,22,873,142,0.162658,39,110,860,13,0.044674,0.126002,2,0.014085
2023,2,pr,ვაკე,Vake,23,1421,845,0.594652,230,670,1409,12,0.161858,0.471499,17,0.020118
2024,2,pr,ვაკე,Vake,24,1462,839,0.573871,270,681,1454,8,0.184679,0.4658,18,0.021454
2025,2,pr,ვაკე,Vake,25,1388,819,0.590058,270,672,1383,5,0.194524,0.48415,19,0.023199
2026,2,pr,ვაკე,Vake,26,1423,862,0.605762,274,693,1412,11,0.192551,0.486999,32,0.037123
2027,2,pr,ვაკე,Vake,27,1269,772,0.608353,210,656,1262,7,0.165485,0.516942,20,0.025907
2028,2,pr,ვაკე,Vake,28,1424,806,0.566011,198,652,1416,8,0.139045,0.457865,23,0.028536
2029,2,pr,ვაკე,Vake,29,1319,801,0.607278,247,639,1311,8,0.187263,0.484458,17,0.021223
2030,2,pr,ვაკე,Vake,30,1291,744,0.576297,234,591,1284,7,0.181255,0.457785,21,0.028226
2031,2,pr,ვაკე,Vake,31,1120,650,0.580357,176,526,1113,7,0.157143,0.469643,12,0.018462
2032,2,pr,ვაკე,Vake,32,873,511,0.585338,156,423,861,12,0.178694,0.484536,8,0.015656
2033,2,pr,ვაკე,Vake,33,1094,651,0.595064,182,534,1087,7,0.166362,0.488117,10,0.015361
2034,2,pr,ვაკე,Vake,34,1269,777,0.612293,257,631,1259,10,0.202522,0.497242,20,0.02574
2035,2,pr,ვაკე,Vake,35,1152,637,0.552951,200,530,1140,12,0.173611,0.460069,16,0.025118
2036,2,pr,ვაკე,Vake,36,1318,785,0.595599,210,658,1309,9,0.159332,0.499241,25,0.031847
2037,2,pr,ვაკე,Vake,37,1261,870,0.689929,302,722,1239,22,0.239492,0.572561,159,0.182759
2038,2,pr,ვაკე,Vake,38,1373,750,0.546249,224,642,1364,9,0.163146,0.467589,20,0.026667
2039,2,pr,ვაკე,Vake,39,1405,790,0.562278,186,596,1400,5,0.132384,0.424199,26,0.032911
2040,2,pr,ვაკე,Vake,40,1045,584,0.558852,200,500,1035,10,0.191388,0.478469,14,0.023973
2041,2,pr,ვაკე,Vake,41,820,473,0.576829,145,400,811,9,0.176829,0.487805,10,0.021142
2042,2,pr,ვაკე,Vake,42,1348,753,0.558605,230,635,1341,7,0.170623,0.471068,23,0.030544
2043,2,pr,ვაკე,Vake,43,1420,760,0.535211,226,600,1414,6,0.159155,0.422535,19,0.025
2044,2,pr,ვაკე,Vake,44,1302,752,0.577573,191,595,1291,11,0.146697,0.456989,27,0.035904
2045,2,pr,ვაკე,Vake,45,1344,797,0.593006,238,639,1334,10,0.177083,0.475446,37,0.046424
2046,2,pr,ვაკე,Vake,46,1152,662,0.574653,257,558,1142,10,0.22309,0.484375,16,0.024169
2047,2,pr,ვაკე,Vake,47,1241,711,0.572925,193,596,1233,8,0.15552,0.480258,21,0.029536
2048,2,pr,ვაკე,Vake,48,1442,720,0.499307,225,616,1430,12,0.156033,0.427184,21,0.029167
2049,2,pr,ვაკე,Vake,49,1340,801,0.597761,203,634,1329,11,0.151493,0.473134,22,0.027466
2050,2,pr,ვაკე,Vake,50,1485,894,0.60202,236,687,1475,10,0.158923,0.462626,21,0.02349
2051,2,pr,ვაკე,Vake,51,1337,800,0.598355,193,626,1328,9,0.144353,0.468212,16,0.02
2052,2,pr,ვაკე,Vake,52,1137,733,0.644679,226,623,1130,7,0.198769,0.547933,25,0.034106
2053,2,pr,ვაკე,Vake,53,1480,689,0.465541,211,543,1475,5,0.142568,0.366892,8,0.011611
2054,2,pr,ვაკე,Vake,54,1038,607,0.584778,155,488,1030,8,0.149326,0.470135,16,0.026359
2055,2,pr,ვაკე,Vake,55,1245,702,0.563855,198,560,1237,8,0.159036,0.449799,16,0.022792
2056,2,pr,ვაკე,Vake,56,1613,804,0.49845,217,651,1604,9,0.134532,0.403596,29,0.03607
2057,2,pr,ვაკე,Vake,57,1210,670,0.553719,207,535,1200,10,0.171074,0.442149,23,0.034328
2058,2,pr,ვაკე,Vake,58,1305,697,0.5341,228,584,1301,4,0.174713,0.44751,20,0.028694
2059,2,pr,ვაკე,Vake,59,1400,829,0.592143,259,657,1391,9,0.185,0.469286,27,0.032569
2060,2,pr,ვაკე,Vake,60,1191,738,0.619647,217,627,1182,9,0.1822,0.526448,16,0.02168
2061,2,pr,ვაკე,Vake,61,1366,817,0.598097,248,660,1356,10,0.181552,0.483163,26,0.031824
2062,2,pr,ვაკე,Vake,62,1235,658,0.532794,192,516,1227,8,0.155466,0.417814,18,0.027356
2063,2,pr,ვაკე,Vake,63,1170,662,0.565812,206,551,1158,12,0.176068,0.47094,20,0.030211
2064,2,pr,ვაკე,Vake,64,1297,750,0.578258,239,620,1290,7,0.184271,0.478026,24,0.032
2065,2,pr,ვაკე,Vake,65,693,315,0.454545,102,270,682,11,0.147186,0.38961,11,0.034921
2066,2,pr,ვაკე,Vake,66,1205,640,0.53112,240,537,1198,7,0.19917,0.445643,10,0.015625
2067,2,pr,ვაკე,Vake,67,1018,589,0.578585,202,473,1014,4,0.198428,0.464637,10,0.016978
2068,2,pr,ვაკე,Vake,68,1346,580,0.430906,223,502,1340,6,0.165676,0.372957,8,0.013793
2069,2,pr,ვაკე,Vake,69,1157,655,0.566119,232,537,1148,9,0.200519,0.464131,9,0.01374
2070,2,pr,ვაკე,Vake,70,982,498,0.507128,181,429,971,11,0.184318,0.436864,14,0.028112
2071,2,pr,ვაკე,Vake,71,1458,675,0.462963,144,515,1452,6,0.098765,0.353224,14,0.020741
2072,2,pr,ვაკე,Vake,72,864,501,0.579861,153,409,852,12,0.177083,0.47338,12,0.023952
2073,2,pr,ვაკე,Vake,73,987,507,0.513678,161,418,976,11,0.163121,0.423506,19,0.037475
2074,2,pr,ვაკე,Vake,74,881,522,0.592509,160,443,871,10,0.181612,0.502838,14,0.02682
2075,2,pr,ვაკე,Vake,75,889,439,0.493813,140,350,881,8,0.15748,0.393701,13,0.029613
2076,2,pr,ვაკე,Vake,76,1211,721,0.595376,188,599,1201,10,0.155244,0.494633,26,0.036061
2077,2,pr,ვაკე,Vake,77,872,184,0.211009,56,155,860,12,0.06422,0.177752,2,0.01087
2078,2,pr,ვაკე,Vake,78,1018,584,0.573674,150,470,1008,10,0.147348,0.46169,14,0.023973
2079,2,pr,ვაკე,Vake,79,907,351,0.38699,127,294,898,9,0.140022,0.324146,3,0.008547
3001,3,pr,საბურთალო,Saburtalo,1,1590,862,0.542138,263,696,1580,10,0.165409,0.437736,17,0.019722
3002,3,pr,საბურთალო,Saburtalo,2,1365,826,0.605128,230,701,1358,7,0.168498,0.513553,13,0.015738
3003,3,pr,საბურთალო,Saburtalo,3,1281,741,0.578454,251,602,1273,8,0.195941,0.469945,28,0.037787
3004,3,pr,საბურთალო,Saburtalo,4,1499,783,0.522348,240,588,1491,8,0.160107,0.392262,12,0.015326
