district_id,vote_type,district_name_ka,district_name_en,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
national,pr,საქართველო,Georgia,3627684,1660976,0.457861,608511,1377608,3537719,89965,0.167741,0.379749,30101,0.018122
1,pr,მთაწმინდა,Mtatsminda,52226,29606,0.566882,8651,24203,51832,394,0.165645,0.463428,710,0.023982
2,pr,ვაკე,Vake,96461,54142,0.561284,15672,44085,95737,724,0.16247,0.457024,1627,0.030051
3,pr,საბურთალო,Saburtalo,124424,65957,0.530099,19756,53475,123664,760,0.15878,0.42978,1532,0.023227
4,pr,კრწანისი,Krtsanisi,44787,18895,0.421886,6225,15346,44347,440,0.138991,0.342644,372,0.019688
5,pr,ისანი,Isani,111397,46958,0.421537,15804,38350,110614,783,0.141871,0.344264,932,0.019848
6,pr,სამგორი,Samgori,142807,62427,0.437142,22138,51457,139931,2876,0.15502,0.360325,1195,0.019142
7,pr,ჩუღურეთი,Chughureti,58994,28342,0.480422,8993,23295,58592,402,0.152439,0.394871,639,0.022546
8,pr,დიდუბე,Didube,69086,37144,0.537649,11439,30544,68124,962,0.165576,0.442116,903,0.024311
9,pr,ნაძალადევი,Nadzaladevi,135163,61807,0.457278,20962,50943,132797,2366,0.155087,0.3769,1102,0.01783
10,pr,გლდანი,Gldani,143353,63637,0.443918,22845,53156,141263,2090,0.159362,0.370805,1224,0.019234
11,pr,საგარეჯო,Sagarejo,46738,17974,0.384569,6743,14998,46344,394,0.144272,0.320895,340,0.018916
12,pr,გურჯაანი,Gurjaani,55311,28382,0.513135,9603,22965,55032,279,0.173618,0.415198,319,0.01124
13,pr,სიღნაღი,Sighnaghi,31864,17290,0.542619,6233,14768,31605,259,0.195613,0.46347,164,0.009485
14,pr,დედოფლისწყარო,Dedoplistskaro,23231,12448,0.535836,4573,10584,23078,153,0.196849,0.455598,145,0.011648
15,pr,ლაგოდეხი,Lagodekhi,39951,18385,0.460189,6133,15295,39707,244,0.153513,0.382844,354,0.019255
16,pr,ყვარელი,Kvareli,29918,15328,0.512334,5250,12428,29667,251,0.17548,0.415402,239,0.015592
17,pr,თელავი,Telavi,57476,24713,0.429971,8054,19602,57054,422,0.140128,0.341047,388,0.0157
18,pr,ახმეტა,Akhmeta,30989,14291,0.461164,4846,11620,30796,193,0.156378,0.374972,200,0.013995
19,pr,თიანეთი,Tianeti,11202,6291,0.561596,2192,5098,11116,86,0.195679,0.455097,60,0.009537
20,pr,ქ. რუსთავი,Rustavi city,109709,46668,0.42538,16377,38479,108662,1047,0.149277,0.350737,972,0.020828
21,pr,გარდაბანი,Gardabani,75737,26198,0.345908,9196,20234,73969,1768,0.12142,0.267161,742,0.028323
22,pr,მარნეული,Marneuli,99543,31991,0.321379,13234,26445,97838,1705,0.132948,0.265664,886,0.027695
23,pr,ბოლნისი,Bolnisi,58286,21393,0.367035,8657,18061,57658,628,0.148526,0.309869,625,0.029215
24,pr,დმანისი,Dmanisi,23134,10370,0.448258,4482,9090,22725,409,0.193741,0.392928,315,0.030376
25,pr,წალკა,Tsalka,23616,6873,0.291032,2761,5940,23326,290,0.116912,0.251524,119,0.017314
26,pr,თეთრიწყარო,Tetritskaro,21848,9735,0.445579,4010,8424,21637,211,0.183541,0.385573,198,0.020339
27,pr,მცხეთა,Mtskheta,45870,22503,0.490582,8032,17956,44913,957,0.175104,0.391454,396,0.017598
28,pr,დუშეთი,Dusheti,26884,13186,0.490478,5145,11132,26479,405,0.191378,0.414075,122,0.009252
29,pr,ყაზბეგი,Kazbegi,5792,2328,0.401934,766,1915,5714,78,0.132251,0.330628,16,0.006873
30,pr,კასპი,Kaspi,40658,18410,0.452801,6625,15427,40407,251,0.162945,0.379433,258,0.014014
32,pr,გორი,Gori,113458,51606,0.454847,18599,41439,110916,2542,0.163929,0.365236,715,0.013855
33,pr,ქარელი,Kareli,37918,18128,0.478084,6727,15198,37646,272,0.177409,0.400812,281,0.015501
35,pr,ხაშური,Khashuri,51379,22926,0.446213,8170,18568,50433,946,0.159014,0.361393,353,0.015397
36,pr,ბორჯომი,Borjomi,27627,14423,0.522062,5462,12505,27427,200,0.197705,0.452637,215,0.014907
37,pr,ახალციხე,Akhaltsikhe,35415,18014,0.508655,6508,15195,35120,295,0.183764,0.429055,295,0.016376
38,pr,ადიგენი,Adigeni,15804,9393,0.594343,3617,7744,15648,156,0.228866,0.490003,153,0.016289
39,pr,ასპინძა,Aspindza,9952,6387,0.641781,2163,5331,9856,96,0.217343,0.535671,84,0.013152
40,pr,ახალქალაქი,Akhalkalaki,39888,15157,0.379989,4986,12173,39545,343,0.125,0.30518,381,0.025137
41,pr,ნინოწმინდა,Ninotsminda,21920,9930,0.453011,3309,8540,21689,231,0.150958,0.389599,284,0.0286
43,pr,ონი,Oni,6867,3864,0.562691,1732,3375,6715,152,0.252221,0.491481,48,0.012422
44,pr,ამბროლაური,Ambrolauri,12100,7576,0.626116,3655,6647,11914,186,0.302066,0.549339,96,0.012672
45,pr,ცაგერი,Tsageri,11995,6794,0.566403,3582,5922,11831,164,0.298624,0.493706,82,0.012069
46,pr,ლენტეხი,Lentekhi,6080,3309,0.544243,1744,2920,5968,112,0.286842,0.480263,55,0.016621
47,pr,მესტია,Mestia,8755,4690,0.535694,2298,4104,8560,195,0.262479,0.468761,115,0.02452
48,pr,ხარაგაული,Kharagauli,20508,13053,0.636483,5225,11478,20353,155,0.254779,0.559684,214,0.016395
49,pr,თერჯოლა,Terjola,34934,19380,0.55476,6703,16018,34810,124,0.191876,0.458522,210,0.010836
50,pr,საჩხერე,Sachkhere,44738,28779,0.643279,11561,24385,44457,281,0.258416,0.545062,211,0.007332
51,pr,ზესტაფონი,Zestaponi,56901,27295,0.479693,9640,22710,56568,333,0.169417,0.399114,295,0.010808
52,pr,ბაღდათი,Baghdati,23513,11372,0.483647,4114,9456,23249,264,0.174967,0.402161,160,0.01407
53,pr,ვანი,Vani,26877,13670,0.508613,5013,10923,26749,128,0.186516,0.406407,223,0.016313
54,pr,სამტრედია,Samtredia,48432,22259,0.459593,8145,17897,48136,296,0.168174,0.369528,257,0.011546
55,pr,ხონი,Khoni,24681,14559,0.589887,5596,11797,24100,581,0.226733,0.477979,239,0.016416
56,pr,ჭიათურა,Chiatura,45463,21629,0.47575,8480,18589,45094,369,0.186525,0.408882,214,0.009894
57,pr,ტყიბული,Tkibuli,23713,11748,0.495424,5787,10222,23538,175,0.244043,0.431072,221,0.018812
