district_id,vote_type,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list
national,pr,3530602,1642203,0.465134,558527,1335441,3504082,26520
1,pr,52748,26506,0.502502,6954,20525,52321,427
2,pr,102260,53008,0.518365,13720,41543,101571,689
3,pr,130589,65412,0.5009,17168,51065,129757,832
4,pr,43440,18139,0.417564,5592,14333,43127,313
5,pr,112522,45113,0.400926,14013,36068,111680,842
6,pr,146538,59355,0.405049,19715,47787,145021,1517
7,pr,60324,27751,0.460032,8332,22090,59967,357
8,pr,69414,35108,0.505777,10007,28070,68889,525
9,pr,135962,58745,0.432069,18111,47303,135214,748
10,pr,147132,62149,0.422403,20711,50362,144644,2488
11,pr,46584,18411,0.395222,6944,14720,46268,316
12,pr,52621,28729,0.545961,9448,23173,52385,236
13,pr,30246,14690,0.485684,5165,12609,29948,298
14,pr,22072,11079,0.501948,3513,9141,21870,202
15,pr,39162,17660,0.450947,5917,14541,38951,211
16,pr,28699,16620,0.579114,5793,13417,28517,182
17,pr,56726,29548,0.52089,9724,23460,56379,347
18,pr,30250,13909,0.459802,4323,11027,30089,161
19,pr,10793,5153,0.477439,1817,4055,10737,56
20,pr,108758,48587,0.446744,17131,39850,107724,1034
21,pr,72102,26824,0.372029,9313,20788,71551,551
22,pr,99854,36249,0.36302,14183,28378,99173,681
23,pr,56701,24923,0.439551,9757,20901,56252,449
24,pr,23133,11248,0.486232,4252,9709,22774,359
25,pr,20790,8027,0.386099,2686,6670,20612,178
26,pr,20481,9572,0.46736,3667,8068,20315,166
27,pr,45135,22317,0.49445,7484,17395,44591,544
28,pr,26585,10938,0.411435,3895,8842,26223,362
29,pr,5461,2023,0.370445,651,1613,5417,44
30,pr,40174,18044,0.449146,6073,14827,39948,226
32,pr,112312,50909,0.453282,15931,38733,111623,689
33,pr,37488,17634,0.470391,6645,14259,37299,189
35,pr,49735,21818,0.438685,7035,17561,49370,365
36,pr,26855,13273,0.494247,4319,11194,26703,152
37,pr,34676,19073,0.550035,6250,15467,34428,248
38,pr,15577,9390,0.602812,2994,7847,15500,77
39,pr,9822,6193,0.630523,2072,5174,9752,70
40,pr,38248,16986,0.444102,5406,13694,38000,248
41,pr,21145,9762,0.461669,3148,8175,20942,203
43,pr,6680,3545,0.530689,1391,3114,6568,112
44,pr,11715,7088,0.605036,3185,6218,11593,122
45,pr,11126,6261,0.562736,2862,5456,11017,109
46,pr,5936,3007,0.50657,1304,2573,5858,78
47,pr,8773,4548,0.518409,1908,3830,8628,145
48,pr,19706,11946,0.606211,4712,10177,19630,76
49,pr,33953,19458,0.573086,6539,15706,33847,106
50,pr,42594,21447,0.503522,7872,18385,42347,247
51,pr,55546,26190,0.471501,8988,21415,55227,319
52,pr,22078,12120,0.548963,4713,10392,21951,127
53,pr,25163,14595,0.580018,5565,12442,25074,89
54,pr,46354,21583,0.465612,7633,17479,46120,234
55,pr,23503,14054,0.597966,5429,11733,23184,319
56,pr,43304,17805,0.411163,6819,15415,43021,283
57,pr,21929,11061,0.504401,5161,9789,21768,161
58,pr,51707,25438,0.491964,10395,21364,51276,431
59,pr,157554,65177,0.41368,22472,52458,156051,1503
60,pr,62303,32761,0.525833,12156,27302,62010,293
61,pr,29327,15758,0.537321,6290,13461,29197,130
62,pr,18306,10817,0.590899,4312,9375,18210,96
63,pr,21051,11658,0.553798,3980,9706,20961,90
64,pr,40288,19070,0.473342,8275,16445,40073,215
65,pr,32510,17167,0.528053,5724,14041,32400,110
66,pr,28061,15356,0.547236,6313,12895,27921,140
67,pr,121545,49053,0.403579,18436,39863,120616,929
68,pr,29746,13107,0.440631,4986,11034,29587,159
69,pr,21983,11739,0.534004,4725,10085,21914,69
70,pr,41606,17749,0.426597,6537,14935,41352,254
79,pr,144403,63723,0.441286,19968,51943,143372,1031
80,pr,15752,10204,0.647791,3159,8191,15668,84
81,pr,68362,34251,0.501024,11970,28040,68017,345
82,pr,15194,8631,0.568053,2849,6984,15097,97
83,pr,45247,21957,0.48527,8465,17998,44898,349
84,pr,24183,13004,0.537733,3575,10763,24097,86
