district_id,registered,voted,turnout_pct
tbilisi_w,320000,161000,0.503
tbilisi_e,320000,159000,0.497
imereti_w,150000,78000,0.520
imereti_e,150000,77000,0.513
kakheti_w,110000,58000,0.527
kakheti_e,110000,57000,0.518
samtskhe_w,52500,27500,0.524
samtskhe_e,52500,27500,0.524
kvemo_kartli_w,100000,51000,0.510
kvemo_kartli_e,100000,49000,0.490
shida_kartli_w,72500,38000,0.524
shida_kartli_e,72500,37000,0.510
mtskheta_w,39000,20500,0.526
mtskheta_e,39000,19500,0.500
racha_w,15000,7700,0.513
racha_e,15000,7300,0.487
samegrelo_w,107500,55300,0.515
samegrelo_e,107500,54700,0.509
guria_w,37500,19200,0.512
guria_e,37500,18800,0.501
adjara_w,97500,50700,0.520
adjara_e,97500,49300,0.506
